repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,composes,implements,measures,overrides
facebook__fresco,,java,1,3948,2111,1753,1389,319,11617,1848,904,9781,13531,7061,1877,4,995,15491,939
firebase__quickstart-android,,java,1,1406,44,175,145,23,866,105,28,409,729,424,31,4,92,1240,6
flyway__flyway,,java,1,1401,2029,1094,693,334,5226,1091,698,4388,3571,4075,1848,4,561,7768,1279
forezp__SpringCloudLearning,,java,1,6626,7,185,128,2,266,92,2,9,48,70,8,4,94,555,2
fuzhengwei__itstack-demo-design,,java,1,1038,188,404,263,68,1044,312,127,299,533,705,88,4,203,1790,167
getActivity__AndroidProject,,java,1,651,370,465,482,193,2701,545,194,1453,2203,2023,317,4,307,3318,130
goldze__MVVMHabit,,java,1,344,192,310,270,43,1434,244,75,587,768,1032,129,4,172,2117,103
google__android-classyshark,,java,1,281,214,296,251,31,1325,205,158,720,965,707,141,4,164,1807,148
google__auto,,java,1,532,262,1440,1991,243,5616,1830,585,3051,1876,2724,340,4,1134,8128,213
google__grafika,,java,1,125,54,139,124,12,1239,94,92,583,1615,608,133,4,87,1091,14
google__guice,,java,1,1012,2214,2728,3683,859,9684,2830,2439,10873,4800,5174,1730,4,2123,13825,965
google__tsunami-security-scanner,,java,1,402,229,466,405,82,1728,440,306,1376,1068,641,153,4,279,2747,108
googlesamples__easypermissions,,java,1,103,34,58,40,16,390,59,42,167,521,268,35,4,31,521,33
graphql-java__graphql-java,,java,1,1278,4195,1888,1646,757,11322,4690,1403,11263,8229,8854,4864,4,1161,15145,1673
greenrobot__EventBus,,java,1,204,68,268,254,79,918,212,130,639,780,415,154,4,171,1297,29
greenrobot__greenDAO,,java,1,460,687,538,387,140,3239,758,292,3061,2535,2104,762,4,297,4963,197
guardianproject__haven,,java,1,476,59,91,66,4,703,55,44,314,709,334,54,4,50,829,6
guolindev__LitePal,,java,1,313,347,264,172,59,1535,244,247,2522,1017,1165,210,4,135,2500,12
gyf-dev__ImmersionBar,,java,1,444,160,246,155,63,1325,272,69,779,1093,636,66,4,127,2003,185
gzu-liyujiang__AndroidPicker,,java,1,443,298,353,233,81,2241,419,176,1809,2436,1774,297,4,186,3216,157
hackware1993__MagicIndicator,,java,1,136,138,95,73,22,723,56,103,435,735,506,39,4,50,1035,106
halo-dev__halo,,java,1,2742,2926,2365,1872,387,8669,1887,1715,5656,5002,4189,2276,4,1383,11258,617
hdodenhof__CircleImageView,,java,1,58,0,5,7,0,69,5,1,19,80,41,0,4,3,83,0
heibaiying__BigData-Notes,,java,1,828,32,127,82,0,338,65,28,39,212,185,5,4,64,561,0
hongyangAndroid__AndroidAutoLayout,,java,1,296,86,134,105,29,452,162,67,175,274,449,24,4,75,676,62
hongyangAndroid__okhttputils,,java,1,137,51,100,80,24,328,100,45,153,231,261,27,4,56,501,40
huanghaibin-dev__CalendarView,,java,1,311,214,214,167,102,1776,151,98,2247,2448,1624,364,4,120,2429,225
iBotPeaches__Apktool,,java,1,671,498,343,214,102,1965,292,407,1780,2119,1051,226,4,176,2670,108
ikew0ng__SwipeBackLayout,,java,1,84,11,24,23,6,247,19,6,135,326,241,12,4,14,310,19
iluwatar__java-design-patterns,,java,1,5825,846,3372,2153,458,7361,2081,1990,3598,3919,2426,1316,4,1746,12416,613
infinilabs__analysis-ik,,java,1,100,27,62,45,6,366,71,49,291,417,197,65,4,32,510,22
ityouknow__spring-boot-examples,,java,1,2194,110,421,258,8,975,242,36,147,432,377,71,4,212,1729,22
ityouknow__spring-cloud-examples,,java,1,840,2,78,48,1,93,38,0,2,8,22,1,4,39,217,1
janishar__mit-deep-learning-book-pdf,,java,1,37,0,1,0,0,1,1,0,0,0,0,0,4,1,3,0
java-decompiler__jd-gui,,java,1,464,707,559,507,244,2310,402,232,1688,1736,1649,670,4,339,3002,438
java-native-access__jna,,java,1,1510,1577,2552,3426,1643,25264,3429,2909,12691,9307,10755,6204,4,1978,15292,842
jeasonlzy__okhttp-OkGo,,java,1,357,586,432,326,120,2216,396,238,1443,1912,1533,235,4,240,3077,164
jeremylong__DependencyCheck,,java,1,1632,1498,908,559,219,5819,830,1208,4955,4841,2855,854,4,473,7992,276
jfeinstein10__SlidingMenu,,java,1,190,27,78,64,18,503,60,37,391,457,438,41,4,45,802,57
joelittlejohn__jsonschema2pojo,,java,1,793,286,464,308,52,2719,354,214,1997,1851,1422,320,4,249,4189,371
json-path__JsonPath,,java,1,287,361,481,393,127,2548,616,350,2769,1302,1561,540,4,284,4102,308
junit-team__junit4,,java,1,734,1701,1757,2228,374,5982,1697,1043,5312,2249,2295,1005,4,1307,9194,453
junixapp__XPopup,,java,1,282,298,251,183,55,1605,271,121,1092,1656,993,206,4,140,2053,141
justauth__JustAuth,,java,1,209,609,253,142,80,853,344,150,1096,361,642,349,4,128,1377,176
jwtk__jjwt,,java,1,846,1239,873,541,486,4615,964,392,2073,1554,5519,379,4,466,5995,649
karatelabs__karate,,java,1,1525,1006,1023,653,88,7174,1632,682,7611,5776,4034,976,4,537,10377,679
kaushikgopal__RxJava-Android-Samples,,java,1,140,49,95,81,25,460,60,43,171,345,175,31,4,55,633,7
kestra-io__kestra,,java,1,2365,3888,2387,1688,602,8451,2032,613,6399,4444,5565,2218,4,1310,12010,633
kevin-wayne__algs4,,java,1,215,0,473,349,0,3253,482,589,4008,2862,2536,287,4,273,4978,0
koral--__android-gif-drawable,,java,1,218,5,97,75,13,593,127,78,354,514,410,58,4,56,937,13
koush__AndroidAsync,,java,1,329,630,492,393,153,2693,632,468,2290,1784,1620,726,4,289,3789,452
koush__ion,,java,1,254,184,287,207,66,1782,444,131,527,1054,993,192,4,160,1966,128
krahets__hello-algo,,java,1,5636,0,193,108,0,543,125,39,450,349,494,60,4,108,1088,0
ksoichiro__Android-ObservableScrollView,,java,1,497,344,330,235,165,1553,232,99,830,1323,895,175,4,184,2094,242
kunal-kushwaha__DSA-Bootcamp-Java,,java,1,735,4,442,252,27,1003,289,63,384,502,794,128,4,246,1970,31
lecho__hellocharts-android,,java,1,248,356,253,199,67,1740,381,213,1531,2028,1112,380,4,146,2201,173
lenve__VBlog,,java,1,135,39,54,35,0,244,48,18,101,125,156,26,4,27,388,0
lenve__vhr,,java,1,335,115,183,109,0,992,152,19,312,549,485,172,4,92,1427,0
leolin310148__ShortcutBadger,,java,1,106,62,52,31,17,189,25,11,39,106,120,2,4,26,223,34
lgvalle__Material-Animations,,java,1,114,0,31,19,7,123,19,5,78,86,62,14,4,16,194,0
liaohuqiu__android-Ultra-Pull-To-Refresh,,java,1,202,100,114,95,15,777,86,49,533,817,481,91,4,64,948,40
lightbend__config,,java,1,312,176,305,262,102,2010,891,396,2025,1091,1934,801,4,189,3029,353
lihengming__spring-boot-api-project-seed,,java,1,44,4,25,18,1,95,19,6,29,50,54,2,4,13,137,10
lingochamp__FileDownloader,,java,1,286,333,335,334,89,2356,443,170,2181,2219,1514,415,4,218,3014,369
linlinjava__litemall,,java,1,2038,697,947,943,44,14049,8300,445,14185,4968,11621,3641,4,615,15694,28
macrozheng__springcloud-learning,,java,1,1091,71,306,169,6,517,227,47,64,147,205,47,4,153,961,19
markzhai__AndroidPerformanceMonitor,,java,1,146,22,62,47,6,342,50,17,143,335,129,34,4,34,400,14
microg__GmsCore,,java,1,5980,2613,2627,2046,836,12629,2767,661,3632,7801,6495,1723,4,1459,13827,535
