repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,composes,implements,measures,overrides
MyCATApache__Mycat-Server,,java,1,1394,3511,2205,1429,422,13806,1681,1277,12204,12298,8887,2154,4,1169,18255,960
NLPchina__ansj_seg,,java,1,411,514,381,245,37,1428,338,312,1227,1218,835,234,4,196,2128,36
NLPchina__elasticsearch-sql,,java,1,800,344,279,182,29,2528,263,226,2525,1826,1818,251,4,145,4247,52
NanoHttpd__nanohttpd,,java,1,306,184,211,188,74,978,233,129,780,825,515,165,4,124,1459,109
Netflix__Hystrix,,java,1,777,1280,1253,1390,403,6298,1781,1299,7918,4461,3460,1691,4,851,8457,520
Netflix__eureka,,java,1,676,1419,974,769,176,5386,1279,838,5280,4940,2830,1299,4,566,6779,656
Netflix__zuul,,java,1,623,956,801,589,122,3980,747,660,2797,3013,2264,835,4,440,5396,309
OpenFeign__feign,,java,1,974,878,1374,1707,360,5382,1599,1146,6126,2859,3413,1101,4,1007,8019,527
OpenRefine__OpenRefine,,java,1,2517,4031,2254,1506,786,10053,1747,2109,9538,10669,5627,2014,4,1225,14637,1292
PaperMC__Paper,,java,1,1672,26,77,58,4,2207,41,6,25,37,104,1,4,39,271,7
PhilJay__MPAndroidChart,,java,1,453,1113,482,324,222,3973,612,308,4612,3163,2834,683,4,259,5484,446
PojavLauncherTeam__PojavLauncher,,java,1,789,529,595,457,81,6961,440,170,1973,6028,3075,396,4,332,4772,155
PowerJob__PowerJob,,java,1,1042,1758,1139,828,189,4069,964,532,1631,2246,1956,879,4,605,4702,330
Qihoo360__RePlugin,,java,1,935,611,648,501,53,3500,491,193,2808,3627,3153,283,4,352,5111,65
ReactiveX__RxAndroid,,java,1,87,10,27,25,0,133,15,49,61,75,28,0,4,15,243,0
Stirling-Tools__Stirling-PDF,,java,1,1627,279,436,281,53,1541,256,57,787,693,895,182,4,228,2192,46
Team-xManager__xManager,,java,1,122,1,23,24,0,763,15,19,220,1683,252,6,4,15,452,0
TeamNewPipe__NewPipe,,java,1,3541,856,828,713,118,5746,718,379,3544,5848,3810,651,4,484,7514,369
TechEmpower__FrameworkBenchmarks,,java,1,10146,399,1167,838,56,3330,746,338,802,1911,1527,247,4,612,4911,120
Tencent__APIJSON,,java,1,124,127,127,75,18,1909,400,52,1856,988,1687,185,4,66,2445,307
Tencent__QMUI_Android,,java,1,2136,1304,960,845,285,7426,1105,552,5240,7074,6294,891,4,584,9454,759
Tencent__Shadow,,java,1,1819,968,943,732,298,3450,759,316,2085,2290,2915,1057,4,526,5401,385
Tencent__tinker,,java,1,597,601,497,481,72,3425,464,250,2502,4498,2738,561,4,309,3749,240
TheAlgorithms__Java,,java,1,957,32,1782,1072,70,4938,1135,524,2828,2522,2868,358,4,950,9058,73
TheWidlarzGroup__react-native-video,,java,1,761,23,90,89,4,612,59,21,283,508,388,71,4,52,760,7
TooTallNate__Java-WebSocket,,java,1,247,535,343,220,76,1922,292,400,1390,1304,1040,355,4,196,3040,283
Yalantis__uCrop,,java,1,223,59,88,80,8,808,76,35,433,950,514,55,4,53,849,10
YoKeyword__Fragmentation,,java,1,408,251,280,243,70,1628,312,140,1055,1463,1248,254,4,155,2308,137
aa112901__remusic,,java,1,889,701,758,735,109,6365,608,396,2496,6942,3455,382,4,487,7218,181
abel533__Mapper,,java,1,746,726,833,610,188,3938,804,422,3152,1459,3037,170,4,450,5749,66
airbnb__epoxy,,java,1,1318,191,891,588,357,6145,2489,324,4100,4990,5058,887,4,486,10251,1235
airbnb__lottie-android,,java,1,1518,698,461,304,131,2664,553,232,2512,2666,1761,706,4,250,3535,205
alibaba__ARouter,,java,1,291,163,163,111,24,623,133,37,371,466,397,74,4,82,838,34
alibaba__COLA,,java,1,1222,636,745,472,142,1917,620,302,856,885,855,359,4,380,2943,151
alibaba__DataX,,java,1,2635,2089,1849,1498,426,10243,1450,728,8022,10037,5150,1799,4,1049,11367,678
alibaba__Sentinel,,java,1,3320,3470,2443,1750,365,9400,2220,1105,9100,6457,5562,1114,4,1277,14808,597
alibaba__arthas,,java,1,1628,1486,1409,985,311,7762,1470,677,5078,5012,4868,1084,4,761,11076,686
