repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,scope_to_scope_fanout_mean,scope_to_scope_fanout_p90,scope_to_scope_fanout_max,scope_to_type_fanout_mean,scope_to_type_fanout_p90,scope_to_type_fanout_max,folder_to_folder_fanout_mean,folder_to_folder_fanout_p90,folder_to_folder_fanout_max,folder_to_file_fanout_mean,folder_to_file_fanout_p90,folder_to_file_fanout_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed
trello-archive__RxLifecycle,,java,1,117,104,13,59,363,302,61,192,74,118,1,220,87,109,80,23,437,99,9,52,368,118,13,6.15254,5,15,4.42954,1.25424,1,4,0.143251,0,3,0.521047,0.143251,0,3,0.504937,0.325069,0,2,4.97297,13,0.389831,0.389831,14,2,1.3913,0.836538,5,0.836538,20,12,4,0.923077,2,4,4.53846,11,23,0.991453,1,9,0.888889,2,17,6.15254,5,15,3.15702,2,6,50,5.30971,14.7729,44.4373,183.521,1.69731,520.327,0.0611737,417.232,1106.76,1,1,1,1
uknownothingsnow__JsBridge,,java,1,31,46,5,19,133,114,19,235,53,182,1,76,10,34,27,7,186,19,13,80,123,182,29,7,4,25,7.82035,2.78947,2,11,0.601504,0,12,1.30896,0.601504,0,4,0.803562,1.36842,1,4,2.32075,23,0.368421,0.368421,3,1,1,0.217391,5,0.217391,3,11,4,0.8,1,1,3.8,14,14,0.967742,2,6,1.48387,3,12,7,4,25,1.54887,1,3,16,1.75776,14.54,42.31,184.132,4.04195,1713.28,0.0613773,379.052,2602.84,1,1,1,1
umano__AndroidSlidingUpPanel,,java,1,30,38,4,10,158,141,17,322,89,233,1,67,1,14,19,2,247,22,7,145,352,233,24,15.8,6.5,63,21.3063,8.9,0,46,0.917722,0,13,1.80002,0.917722,1,7,1.20108,1.47468,1,6,3.95506,15,0.2,0.2,1,1,1,0.0263158,1,0.0263158,1,10,3,0.75,1,1,2.5,9,9,0.966667,2,8,1.26667,2,12,15.8,6.5,63,2.79114,1,7,18,3.19226,19.4444,98.1624,493.086,12.595,20460.1,0.164362,1179.74,45304.5,1,1,1,1
vipshop__vjtools,,java,1,145,320,47,338,2296,1952,344,2983,725,2258,1,464,178,570,490,28,3021,432,162,1776,1696,2258,124,6.7929,4,51,7.93828,2.14497,1,70,0.773519,0,19,1.76397,0.773519,0,13,1.196,0.983449,1,20,2.33931,34,0.0828402,0.0828402,4,1,1,0.55625,7,0.55625,15,13,6,0.978723,3,14,7.19149,17,27,0.993103,2,14,2.2069,6,17,6.7929,4,51,2.55401,1,6,46,3.80819,16.0804,62.352,289.981,5.69937,4446.95,0.0966604,738.617,7931.99,1,1,1,1
wasabeef__glide-transformations,,java,1,40,74,6,27,155,115,40,276,73,203,1,113,4,52,34,20,228,40,0,50,238,203,4,5.74074,6,22,3.79661,2.7037,3,6,0.322581,0,14,1.21249,0.322581,0,11,1.10094,1.30968,1,5,3.26027,20,0.740741,0.740741,10,2,1.5,0.0540541,2,0.0540541,1,11,4,0.833333,2,2,4.5,13,13,0.975,2,7,1.85,3,11,5.74074,6,22,2.4,1,4,46,4.41785,15.3304,69.1565,323.025,6.50282,19859.9,0.107675,654.678,8024.74,1,1,0,1
wasabeef__richeditor-android,,java,1,44,76,5,11,83,73,10,90,10,80,1,119,1,17,19,0,93,11,2,102,21,80,7,7.54545,1,64,17.9006,0.909091,0,8,1.22892,1,31,3.35572,1.22892,1,49,5.31269,0.963855,1,4,2.1,3,0,0,0,,,0.0131579,1,0.0131579,1,9,2,0.6,2,2,2.2,8,8,0.977273,2,7,1.72727,3,31,7.54545,1,64,2.22892,1,4,40,4.43786,12.0746,43.3433,207.585,2.67928,1015.12,0.0691949,232,1176,1,0,1,1
williamfiset__Algorithms,,java,1,131,570,52,448,3060,2558,502,4289,1157,3132,1,700,21,762,624,41,4217,606,624,3166,3260,3132,232,6.83036,5,28,5.5132,2.58259,2,41,1.03464,1,13,1.394,1.03464,0,17,1.83648,1.02353,1,12,2.81763,19,0.0915179,0.0915179,10,1,1,0.0368421,2,0.0368421,13,11,5,0.980769,1,21,8.59615,21,86,0.992366,1,21,4.35115,10,39,6.83036,5,28,4.44804,3,10,108,5.78218,19.6318,113.307,528.495,11.6798,13143.5,0.176165,1316.51,29936.4,1,1,1,1
winterbe__java8-tutorial,,java,1,14,83,11,88,288,209,79,163,37,126,1,96,2,156,118,0,325,81,19,103,84,126,2,3.27273,2,11,2.39188,0.420455,0,4,0.357639,0,8,0.882238,0.357639,0,17,1.21072,0.4375,0,2,2.27027,8,0,0,0,,,0.0240964,1,0.0240964,2,8,4,0.909091,2,6,8,20,22,0.928571,2,6,5.92857,15,20,3.27273,2,11,3.08333,1,8,26,3.65624,22.4656,73.0053,350.835,4.58294,2416.96,0.116945,696.778,4456.18,1,0,1,1
wiremock__wiremock,,java,1,219,1116,56,1093,8212,7044,1168,7036,1908,5128,1,1334,2321,1983,1339,431,10120,2775,1739,17889,6646,5128,2311,7.51327,4,222,13.1829,1.74565,1,77,2.1784,1,47,3.63705,2.1784,0,574,14.4558,0.624452,0,18,3.48323,72,0.394328,0.394328,45,5,1.6235,2.07975,32,2.07975,127,12,6,0.910714,2,24,19.4821,44,169,0.995434,2,20,5.09589,15,84,7.54163,4,222,2.22947,1,5,81,2.52432,16.768,50.5087,229.83,2.41322,1054.1,0.0766099,567.901,2010.8,1,1,1,1
wuyouzhuguli__SpringAll,,java,1,1436,1062,144,315,1138,850,288,1011,357,654,1,2497,181,625,456,23,1495,336,61,307,599,654,91,3.6127,3,19,2.83445,1.13333,0,10,0.269772,0,11,0.839585,0.269772,0,4,0.564146,0.574692,0,5,1.67787,14,0.0730159,0.0730159,2,2,1.09524,0.170433,7,0.170433,20,12,4,0.979167,2,21,2.17361,5,26,0.999304,2,78,0.739554,2,8,3.6127,3,19,1.66608,1,3,25,2.24648,11.6693,28.5116,114.716,1.79271,568.8,0.0382388,288.853,804.85,1,1,1,1
