repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,scope_to_scope_fanout_mean,scope_to_scope_fanout_p90,scope_to_scope_fanout_max,scope_to_type_fanout_mean,scope_to_type_fanout_p90,scope_to_type_fanout_max,folder_to_folder_fanout_mean,folder_to_folder_fanout_p90,folder_to_folder_fanout_max,folder_to_file_fanout_mean,folder_to_file_fanout_p90,folder_to_file_fanout_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed
527515025__springBoot,,java,1,464,485,88,223,1148,937,211,1142,442,700,1,948,187,440,315,13,1590,321,39,328,870,700,148,5.14798,3,46,5.58831,1.98206,1,22,0.285714,0,14,0.889488,0.285714,0,5,0.669316,0.609756,1,9,1.96833,9,0.058296,0.058296,2,1,1,0.385567,7,0.385567,7,12,4,0.977273,5,14,2.53409,5,11,0.997845,2,26,1.04526,3,8,5.14798,3,46,2.12282,1,3,354,11.7973,10.5061,30.0474,133.678,1.79829,742.401,0.0445592,273.482,777.44,1,1,1,1
AntennaPod__AntennaPod,,java,1,663,1145,121,673,4583,3854,729,6375,2505,3870,1,1807,1948,1231,907,117,7088,1041,970,6782,7368,3870,962,6.80981,4,113,9.30031,3.72214,2,105,1.47982,0,47,3.03287,1.47982,0,114,4.93638,0.844425,1,21,2.94132,91,0.173848,0.173848,9,2,1.07692,1.70131,41,1.70131,110,16,7,0.983471,3,18,5.56198,12,35,0.998492,2,39,1.727,5,104,6.80981,4,113,3.1763,2,8,44,4.0092,19.4839,71.1603,357.352,5.5248,6486.51,0.119117,858.208,9326.28,1,1,1,1
Anuken__Mindustry,,java,1,246,3317,74,1352,8455,6936,1519,17126,7928,9198,1,3562,10,2102,2016,535,16383,2085,987,7122,23014,9198,3433,6.2537,4,206,9.88551,5.86391,3,394,0.842342,0,186,2.74246,0.842342,0,113,3.29268,1.08788,1,22,2.90288,353,0.39571,0.39571,46,4,1.25532,0.00301477,3,0.00301477,6,9,4,0.972973,3,26,18.2027,33,151,0.995935,2,42,13.4837,34,300,6.2537,4,206,2.90893,1,6,405,6.13235,24.8175,128.334,852.899,7.67561,74905,0.2843,1318.33,24757.1,1,1,1,1
ArthurHub__Android-Image-Cropper,,java,1,91,132,8,37,382,343,39,890,237,653,1,222,9,55,63,5,619,103,23,429,1016,653,81,10.3243,4,81,16.6426,6.40541,2,49,1.12304,0,13,1.98371,1.12304,1,9,1.58297,1.70942,1,17,4.28692,45,0.135135,0.135135,2,1,1,0.0681818,2,0.0681818,5,12,5,0.875,3,3,4.625,30,30,0.989011,2,34,1.45055,3,12,10.3243,4,81,3.09424,1,7,50,5.2872,20.2051,102.875,522.398,9.58353,15690,0.174133,1534.1,35020.3,1,1,1,1
AsyncHttpClient__async-http-client,,java,1,86,371,49,428,3198,2734,464,3670,1200,2470,1,456,667,754,577,130,4398,863,608,4293,2753,2470,514,7.47196,4,86,10.3935,2.80374,1,76,1.3424,0,61,2.8366,1.3424,0,118,5.65835,0.772358,0,74,2.29417,62,0.303738,0.303738,6,4,1.38462,1.79784,26,1.79784,40,12,5,0.959184,2,17,8.73469,19,96,0.988372,2,15,4.31395,10,43,7.47196,4,86,2.03565,1,4,76,3.28136,18.3142,58.0545,280.591,4.35686,2980.77,0.0935303,723.782,6465.35,1,1,1,1
Baseflow__PhotoView,,java,1,33,73,5,34,183,155,28,283,81,202,1,105,9,59,47,3,264,33,15,141,207,202,33,5.38235,3,52,10.7949,2.38235,0,44,0.770492,0,13,1.52638,0.770492,0,7,1.11218,1.10383,1,9,2.55556,41,0.0882353,0.0882353,1,1,1,0.123288,4,0.123288,5,11,4,0.8,1,1,6.8,19,19,0.969697,1,10,2.21212,10,13,5.38235,3,52,1.86885,1,4,15,2.21378,12.4206,41.6111,192.13,3.93005,5337.21,0.0640432,229.388,1027.41,1,1,1,1
Bearded-Hen__Android-Bootstrap,,java,1,37,143,12,74,549,463,86,2806,2318,488,1,179,165,139,94,58,2867,120,19,562,717,488,140,7.41892,4.5,39,7.7075,31.3243,2,935,1.02368,1,9,1.46401,1.02368,0,20,2.03641,0.888889,1,7,0.309318,14,0.783784,0.783784,11,2,1.03333,1.15385,12,1.15385,18,11,4,0.916667,3,3,6.16667,18,26,0.972973,3,8,3.86486,12,20,7.41892,4.5,39,2.38251,1,5,23,3.11459,14.7965,55.9799,254.241,4.17524,3210.6,0.0847469,658.848,7412.04,1,1,1,1
Bigkoo__Android-PickerView,,java,1,69,112,19,43,356,322,34,632,250,382,1,180,73,83,63,7,606,109,52,336,910,382,62,8.27907,2,50,11.5805,5.81395,1,72,0.94382,0,20,2.22781,0.94382,1,9,1.30349,1.07303,1,7,3.64,37,0.162791,0.162791,3,1,1,0.651786,11,0.651786,10,10,3,0.894737,5,6,2.26316,7,7,0.985507,2,9,1.62319,4,10,8.27907,2,50,3.16573,2,6,42,4.68719,16.2549,91.9183,474.007,8.40173,30268.2,0.158002,1155,18387,1,1,1,1
Blankj__AndroidUtilCode,,java,1,350,705,68,445,4792,4336,456,7719,1229,6490,1,1054,299,716,685,110,6021,715,262,4783,3102,6490,451,10.7685,4,200,19.502,2.7618,1,58,0.998122,1,22,1.2808,0.998122,0,49,2.50304,1.35434,1,12,2.524,39,0.247191,0.247191,30,3,1.42056,0.424113,18,0.424113,16,16,7,0.970588,3,11,6.54412,10,243,0.997143,2,41,2.01429,4,82,10.7685,4,200,2.21119,1,5,45,2.68872,15.6306,50.6616,229.099,5.79339,3586.76,0.0763663,470.45,5290.55,1,1,1,1
Blankj__awesome-java-leetcode,,java,1,145,145,73,70,223,152,71,212,10,202,1,289,19,140,142,0,233,84,79,122,61,202,29,3.18571,3,6,0.486764,0.142857,0,4,0.547085,0,3,0.812612,0.547085,0,8,1.04443,0.90583,1,5,6.1,12,0,0,0,,,0.131034,1,0.131034,10,7,3,0.986301,0,34,0.958904,1,3,0.993103,0,68,1,1,4,3.18571,3,6,3.40807,3,7,14,2.70182,20.2632,92.8816,425.9,16.08,12864.2,0.141967,888.383,32533.1,1,0,1,1
CarGuo__GSYVideoPlayer,,java,1,152,536,53,320,3391,2996,395,4465,1451,3014,1,687,744,590,418,135,4842,618,325,3645,4645,3014,468,10.5969,6,97,13.577,4.53437,2,52,1.0749,0,38,2.53765,1.0749,0,95,3.08739,0.888823,1,9,3.20124,39,0.421875,0.421875,29,8,2.28,1.38806,40,1.38806,40,12,5,0.943396,2,15,6.03774,16,40,0.993421,1,17,3.52632,8,61,10.5969,6,97,2.23385,1,4,62,3.36712,15.2135,53.4429,257.906,4.42532,5370.94,0.0859686,573.04,5337.99,1,1,1,1
ChrisRM__material-theme-jetbrains,,java,1,74,594,35,315,2310,2005,305,2193,840,1353,1,667,380,589,390,156,3150,422,113,1618,1251,1353,111,7.33333,3,145,13.1383,2.66667,0,77,0.700433,0,85,3.51168,0.700433,0,72,2.2711,0.585714,0,11,1.48929,28,0.495238,0.495238,33,3,1.62581,0.639731,12,0.639731,56,11,5,0.971429,2,16,9,22,48,0.986486,3,16,8.02703,22,40,7.33333,3,145,1.95108,1,3,89,4.75966,12.4079,46.0045,239.058,3.27886,4668.74,0.0796859,362.221,2405.15,1,1,1,1
Curzibn__Luban,,java,1,56,58,4,18,98,84,14,135,46,89,1,113,4,34,23,1,144,29,13,71,101,89,19,5.44444,3.5,17,4.98021,2.55556,1.5,13,0.72449,0,8,1.3686,0.72449,1,4,0.817919,0.908163,1,4,2.19565,6,0.0555556,0.0555556,1,1,1,0.0689655,4,0.0689655,1,10,3,0.75,1,1,4.5,11,11,0.982143,2,10,1.03571,3,11,5.44444,3.5,17,2.42857,2,6,13,2.31675,17.95,67.9333,327.014,7.55765,8520,0.109005,787.56,8467.06,1,1,1,1
DImuthuUpe__AndroidPdfViewer,,java,1,40,73,12,54,385,341,44,654,225,429,1,112,55,95,78,10,610,86,34,428,708,429,115,7.12963,2,99,14.3669,4.16667,1,47,1.11169,0,28,2.46545,1.11169,1,14,1.83487,1.11429,1,9,3.14667,35,0.185185,0.185185,5,1,1,0.753425,26,0.753425,4,11,4,0.916667,2,7,4.5,10,19,0.975,2,9,1.825,6,10,7.12963,2,99,2.55065,2,6,28,3.01393,14.1475,57.7302,260.66,5.9676,5361.12,0.0868868,639.26,9381.34,1,1,1,1
EnterpriseQualityCoding__FizzBuzzEnterpriseEdition,,java,1,45,103,31,91,170,104,66,215,109,106,1,147,147,178,121,39,279,97,10,71,164,106,106,1.86813,2,5,0.87967,1.1978,0,34,0.417647,0,8,1.1255,0.417647,0,4,0.700198,0.623529,0,8,1.50459,4,0.428571,0.428571,3,2,1.10526,1.42718,6,1.42718,10,15,9,0.967742,2,8,2.87097,7,15,0.977778,2,8,2.28889,7,15,1.87912,2,5,1.52353,1,3,16,1.72594,10.9286,26.9714,105.537,2.57403,426.743,0.035179,185.843,976.597,1,1,1,1
Exrick__xmall,,java,1,338,1770,39,251,4477,4194,283,4910,786,4124,1,2107,388,441,350,42,5263,2839,413,3628,2045,4124,465,17.8367,11,221,34.3223,3.13147,2,18,0.810364,1,40,1.62321,0.810364,0,146,6.10503,0.921153,1,10,2.60178,28,0.167331,0.167331,2,1,1,0.219209,14,0.219209,24,13,4,0.974359,5,10,6.4359,13,100,0.997041,3,23,5.23669,9,162,17.8367,11,221,1.8356,2,2,28,1.56784,12.3167,34.0999,149.354,2.51604,1346.95,0.0497848,343.791,1775.64,1,1,1,1
Freelander__Android_Data,,java,1,2,5,4,2,19,17,2,33,1,32,1,6,0,4,5,0,20,2,0,0,13,32,0,9.5,9.5,14,4.5,0.5,0.5,1,0,0,0,0,0,0,0,0,1.68421,2,3,13,13,0,0,0,,,0,0,0,0,3,3,0.75,1,1,0.5,2,2,0.5,1,1,2.5,3,3,9.5,9.5,14,1.57895,1,4,4,1.1386,13.8824,26.9412,104.735,4.25144,539.669,0.0349117,180.085,1224.58,0,0,0,0
GoogleContainerTools__jib,,java,1,802,1212,61,684,4548,3859,689,4518,1911,2607,1,2013,1876,1240,862,145,6459,1348,1184,8594,5973,2607,1450,6.64912,4,71,7.86284,2.79386,2,47,1.88962,1,65,3.933,1.88962,0,109,4.77287,0.573219,0,18,3.12559,47,0.211988,0.211988,35,3,1.20833,1.54785,34,1.54785,81,17,7,0.885246,2,21,11.1803,39,59,0.998753,2,18,1.51122,3,34,6.65058,4,71,3.22164,2,7,82,4.27518,21.1107,76.172,378.88,3.08981,2380.57,0.126293,901.916,4428.28,1,1,1,1
GrenderG__Toasty,,java,1,63,66,4,8,74,66,8,211,22,189,1,128,1,15,12,0,96,17,1,80,49,189,0,9.25,2.5,45,13.8992,2.75,0,13,1.08108,1,4,1.12414,1.08108,0,16,2.69512,2.55405,2,8,2.22727,3,0,0,0,,,0.0151515,1,0.0151515,1,9,2,0.75,2,2,2,5,5,0.984127,2,14,1.04762,2,10,9.25,2.5,45,1.85135,1,2,17,2.51849,18,52,235.624,3.14194,1320.2,0.0785414,325.031,1187.99,1,0,1,0
GrowingGit__GitHub-Chinese-Top-Charts,,java,1,15,191,0,1,2,1,1,1,0,1,1,205,0,1,0,0,2,1,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,,,0,0,0,,,0,0,0,0,6,,,,,,,,0.933333,3,4,12.7333,30,30,2,2,2,1,1,1,1,0,9,12,38.0391,1.42857,54.3416,0.0126797,38.0391,54.3416,0,0,0,0
H07000223__FlycoTabLayout,,java,1,32,65,11,24,321,291,30,489,217,272,1,96,30,40,42,2,538,36,16,186,694,272,28,13.375,4,88,24.7989,9.04167,2,60,0.579439,0,12,1.16038,0.579439,0,14,1.6913,0.847352,1,5,3.19816,16,0.0833333,0.0833333,1,1,1,0.461538,7,0.461538,7,10,3,0.909091,3,4,2.18182,8,8,0.96875,3,4,2.03125,5,15,13.375,4,88,2.84735,2,5,51,4.90328,13.8407,60.4593,303.477,4.88993,7854.43,0.101159,660.685,8944.07,1,1,1,1
HMCL-dev__HMCL,,java,1,149,895,67,926,6042,4925,1117,8223,3008,5215,1,1043,2264,1524,1317,344,9050,1934,1058,7343,7770,5215,1563,6.52484,4,118,9.23645,3.24838,2,43,1.21533,0,69,3.23807,1.21533,0,179,4.23223,0.863125,0,24,2.58311,187,0.37149,0.37149,53,3,1.16301,2.52961,36,2.52961,108,12,5,0.940299,2,12,13.8209,29,88,0.993289,2,11,6.00671,18,56,6.52808,4,118,2.2385,1,5,73,3.48395,15.3301,55.9871,278.392,4.24327,5200.04,0.0927972,687.648,6529.26,1,1,1,1
HannahMitt__HomeMirror,,java,1,34,156,8,42,126,95,31,204,123,81,1,189,32,69,64,0,249,36,3,100,216,81,26,3,2,33,4.93771,2.92857,0.5,31,0.793651,0,25,2.93398,0.793651,1,4,0.809835,0.642857,0,6,1.7561,13,0,0,0,,,0.205128,14,0.205128,8,10,3,0.875,5,5,5.25,19,19,0.970588,2,11,4.58824,12,28,3,2,33,2.68254,1,5,56,5.67458,19.8831,81.4156,438.409,5.62824,5734.21,0.146136,1306.88,21003.4,1,0,1,1
HarlonWang__AVLoadingIndicatorView,,java,1,43,70,5,37,155,115,40,207,92,115,1,112,26,72,43,29,247,42,1,171,186,115,5,4.18919,3,30,6.10643,2.48649,2,17,1.10323,1,4,0.937906,1.10323,0,31,4.31677,0.741935,0,4,2.02174,12,0.783784,0.783784,23,2,1.2069,0.371429,1,0.371429,23,10,3,0.8,2,2,7.4,29,29,0.976744,2,8,1.62791,3,28,4.18919,3,30,3.93548,2,12,24,4.52616,21.0522,105.235,510.755,8.6493,9334.62,0.170252,1125.24,19339.3,1,1,1,1
JakeWharton__butterknife,,java,1,135,244,13,266,806,578,228,741,313,428,1,378,217,409,398,19,1119,255,238,479,594,428,66,3.03008,2,46,4.18993,1.17669,1,22,0.594293,0,20,1.82767,0.594293,0,53,2.66499,0.531017,0,11,1.89776,12,0.0714286,0.0714286,4,5,1.78947,0.889344,27,0.889344,47,12,3,0.846154,3,4,20.4615,71,124,0.992593,2,13,1.80741,4,31,3.03008,2,46,3.12903,2,9,34,4.23482,28.7157,113,606.045,3.98738,5918.56,0.202015,1299.34,6726.63,1,1,1,1
JakeWharton__hugo,,java,1,38,30,6,7,45,39,6,25,3,22,1,67,1,12,13,0,48,6,2,38,7,22,0,6.42857,5,17,5.57692,0.428571,0,1,0.844444,1,5,0.965069,0.844444,0,19,2.82808,0.488889,0,3,2.33333,3,0,0,0,,,0.0333333,1,0.0333333,1,9,2,0.666667,1,1,1.16667,3,3,0.973684,1,5,0.789474,2,12,6.42857,5,17,3.11111,2,7,13,2.89231,18.6486,58.4054,271.609,4.72108,2781.6,0.0905363,873.427,10749.9,1,0,1,0
JeffLi1993__springboot-learning-example,,java,1,523,320,40,86,353,274,79,326,110,216,1,842,76,171,122,9,463,119,23,103,266,216,66,4.10465,3,13,2.9136,1.27907,0,6,0.291785,0,4,0.666788,0.291785,0,7,0.773034,0.611898,1,4,2.41818,10,0.104651,0.104651,2,1,1,0.2375,5,0.2375,20,11,4,0.925,1,16,2.125,4,6,0.998088,2,37,0.611855,1,6,4.10465,3,13,1.50425,1,3,12,1.54466,10.8,26.4128,101.202,1.46782,222.785,0.033734,224.663,551.212,1,1,1,1
JessYanCoding__AndroidAutoSize,,java,1,111,162,10,41,268,227,41,341,67,274,1,272,61,82,50,13,335,74,18,241,176,274,28,6.53659,4,46,7.7242,1.63415,0,30,0.899254,0,21,2.49797,0.899254,0,33,2.43749,1.02239,1,6,2.62687,7,0.317073,0.317073,11,1,1,0.376543,7,0.376543,17,11,4,0.9,2,5,4.1,9,12,0.990991,1,10,1.45946,3,22,6.53659,4,46,2.02985,1,4,26,2.63711,12.3063,36.3423,159.787,3.77696,2618.25,0.0532622,351.385,2214.23,1,1,1,1
JessYanCoding__MVPArms,,java,1,100,195,42,134,843,728,115,1236,277,959,1,294,202,241,201,30,1120,213,36,390,547,959,116,6.29104,5,58,7.09406,2.06716,1,22,0.462633,0,13,1.05235,0.462633,0,18,1.21652,1.1376,1,9,1.97473,9,0.223881,0.223881,2,2,1.12,1.0359,13,1.0359,14,14,7,0.952381,3,7,3.19048,9,14,0.99,2,8,1.95,4,22,6.29104,5,58,1.86595,1,4,46,2.63426,14.5181,42.278,186.808,4.57681,5099.18,0.0622693,400,3307.72,1,1,1,1
JesusFreke__smali,,java,1,206,931,50,887,5237,4400,837,5668,1683,3985,1,1136,2251,1624,1086,886,6920,1695,1443,6987,5558,3985,1932,5.90417,4,66,6.35575,1.89741,1,45,1.33416,0,60,2.83211,1.33416,0,163,5.37086,0.760932,0,10,3.30244,98,0.998873,0.998873,37,4,1.78965,2.41783,22,2.41783,139,12,5,0.98,4,11,17.74,38,56,0.995146,2,23,4.51942,15,40,5.99436,4,66,2.2448,1,5,173,5.80509,17.4284,70.2032,366.111,4.93837,6331.98,0.122037,770,6972.74,1,1,1,1
Justson__AgentWeb,,java,1,101,228,18,165,1101,938,163,1829,514,1315,1,328,116,295,217,65,1615,336,106,877,1238,1315,216,6.67273,4,55,7.5672,3.11515,1,34,0.796549,0,15,1.49368,0.796549,0,40,2.06357,1.19437,1,8,2.40856,32,0.393939,0.393939,7,3,1.51111,0.508772,20,0.508772,13,11,4,0.944444,2,13,9.16667,16,90,0.990099,2,13,2.25743,4,71,6.67273,4,55,2.31244,1,5,103,3.95668,16.5372,54.8615,258.871,4.92126,3253.53,0.0862905,566.55,6240.85,1,1,1,1
Konloch__bytecode-viewer,,java,1,103,419,61,329,1665,1306,359,2758,1009,1749,1,521,899,619,418,107,2674,470,218,1812,2957,1749,365,5.06079,3,38,5.58243,3.06687,1,188,1.08829,0,22,1.92783,1.08829,0,52,2.7257,1.05045,1,13,2.93062,91,0.325228,0.325228,18,3,1.13333,2.14558,54,2.14558,105,13,7,0.967213,2,12,5.32787,10,29,0.990291,2,12,4.06796,10,43,5.06079,3,38,3.05706,1,6,154,6.91665,20.9416,87.4474,471.965,6.75287,9235.42,0.157322,1081.9,18136,1,1,1,1
KunMinX__Jetpack-MVVM-Best-Practice,,java,1,82,138,35,111,472,369,103,852,233,619,1,219,113,182,184,25,705,115,43,189,427,619,59,4.25225,3,39,5.333,2.0991,1,27,0.400424,0,7,0.850374,0.400424,0,12,0.997157,1.31144,1,211,1.83262,26,0.225225,0.225225,7,1,1,0.818841,11,0.818841,7,12,5,0.942857,4,5,3.17143,6,16,0.987805,3,8,1.68293,4,10,4.25225,3,39,1.92797,1,4,33,2.65835,16.8897,52.0862,270.577,4.17032,4048.39,0.0901923,441.484,3448.35,1,1,1,1
LuckSiege__PictureSelector,,java,1,188,681,62,449,3661,3257,404,5882,2041,3841,1,868,940,787,619,91,5702,820,351,4191,6005,3841,638,8.15367,3,117,14.3861,4.54566,1,129,1.14477,0,58,3.00574,1.14477,1,36,2.45302,1.04917,1,10,2.94219,132,0.202673,0.202673,4,3,1.14943,1.38032,89,1.38032,56,12,5,0.951613,2,23,7.24194,16,52,0.994681,2,24,3.62234,10,36,8.15367,3,117,2.18192,1,4,138,4.27953,15.5816,60.2438,295.935,5.29487,6229.54,0.098645,713.404,7612.71,1,1,1,1
Meituan-Dianping__Leaf,,java,1,51,51,16,35,179,144,35,192,93,99,1,101,53,68,52,4,272,53,23,119,199,99,21,5.11429,3,22,5.35469,2.65714,1,12,0.664804,0,20,2.43334,0.664804,0,5,0.902784,0.553073,0,4,2.13978,6,0.114286,0.114286,3,1,1,1.03922,9,1.03922,9,13,6,0.9375,4,4,2.1875,4,6,0.980392,2,4,1,3,6,5.11429,3,22,1.70391,1,4,12,1.91043,12.088,40.28,188.757,3.44194,3275.56,0.062919,378.923,1997.84,1,1,1,1
Meituan-Dianping__walle,,java,1,94,102,20,84,401,321,80,606,203,403,1,195,68,132,139,15,604,125,60,286,435,403,78,4.77381,3,27,4.4276,2.41667,2,17,0.713217,0,12,1.66227,0.713217,0,8,0.98874,1.00499,1,5,2.14286,27,0.178571,0.178571,5,1,1,0.666667,8,0.666667,8,13,6,0.95,3,4,4.2,16,20,0.989362,2,8,1.08511,3,12,4.78571,3,27,2.53367,1,6,33,3.3758,20.6355,84.2477,432.2,8.12542,10027.3,0.144067,1022.04,17833.7,1,1,1,1
MyCATApache__Mycat-Server,,java,1,215,1180,158,1169,8858,7693,1165,13835,4948,8887,1,1394,3511,2205,1429,422,13806,1681,1277,12204,12298,8887,2154,7.57742,4,197,13.2281,4.23268,2,509,1.37774,0,51,3.21212,1.37774,0,226,5.2724,1.00327,1,15,2.48545,196,0.360992,0.360992,45,5,1.17663,2.97542,52,2.97542,157,14,8,0.987342,3,25,7.39873,18,59,0.995349,3,21,5.48837,14,57,7.57827,4,197,2.76022,1,6,132,4.51235,17.2657,72.263,361.15,6.79563,8120.47,0.120383,983.657,17762.9,1,1,1,1
NLPchina__ansj_seg,,java,1,154,258,39,196,985,744,241,1278,443,835,1,411,514,381,245,37,1428,338,312,1227,1218,835,234,5.02551,3,41,4.9984,2.2602,0,18,1.24569,0,25,2.22823,1.24569,0,64,3.20414,0.847716,1,6,2.74944,36,0.188776,0.188776,10,2,1.10811,1.99225,14,1.99225,51,11,4,0.974359,2,21,5.02564,11,27,0.993506,2,8,1.67532,5,20,5.02551,3,41,3.3066,2,8,31,3.7086,21.5301,91.5178,468.436,9.20688,13510.5,0.156145,1245.45,27247.5,1,1,1,1
NLPchina__elasticsearch-sql,,java,1,176,625,29,145,2070,1898,172,2276,458,1818,1,800,344,279,182,29,2528,263,226,2525,1826,1818,251,14.2759,6,192,25.4533,3.15862,2,48,1.21981,0,45,2.56349,1.21981,0,74,4.50362,0.878261,0,14,3.9869,118,0.2,0.2,6,2,1.24138,0.5504,16,0.5504,51,10,4,0.931034,3,6,5,17,23,0.994318,2,86,3.55114,8,42,14.2759,6,192,3.43188,2,8,87,4.67618,20.1697,83.7574,451.509,5.40616,14718.5,0.150503,897.396,10176.2,1,1,1,1
NanoHttpd__nanohttpd,,java,1,147,160,28,124,755,621,134,738,223,515,1,306,184,211,188,74,978,233,129,780,825,515,165,6.08871,4,43,6.71663,1.79839,0,21,1.03311,1,14,1.64384,1.03311,0,60,2.97187,0.682119,0,5,3.69955,75,0.596774,0.596774,15,4,1.33784,1.15,11,1.15,27,12,5,0.964286,4,8,4.42857,11,26,0.993197,2,9,1.08844,3,22,6.08871,4,43,3.03179,1,7,37,3.71808,21.3389,78.4345,394.376,5.09811,6258.35,0.131459,857.076,8630.58,1,1,1,1
Netflix__Hystrix,,java,1,305,473,91,851,4697,3754,943,5061,1601,3460,1,777,1280,1253,1390,403,6298,1781,1299,7918,4461,3460,1691,5.51939,3,170,9.63435,1.88132,1,49,1.68576,0,37,3.1635,1.68576,0,210,7.66973,0.73664,0,14,2.78638,96,0.473561,0.473561,45,4,1.83463,2.70613,16,2.70613,63,16,8,0.989011,3,10,9.35165,23,245,0.996721,2,11,1.55082,4,33,5.51939,3,170,3.06174,1,7,78,5.17145,21.9883,93.5943,495.405,4.73651,6119.09,0.165135,1332.1,16091.4,1,1,1,1
Netflix__eureka,,java,1,207,470,46,566,3641,3043,598,4575,1745,2830,1,676,1419,974,769,176,5386,1279,838,5280,4940,2830,1299,6.43286,4,80,8.4637,3.08304,1,49,1.45015,0,52,2.98238,1.45015,0,90,4.44,0.777259,0,26,2.83095,70,0.310954,0.310954,10,5,1.4,3.01915,23,3.01915,144,12,5,0.978261,3,10,12.3043,30,77,0.995169,2,14,2.27053,7,28,6.4364,4,80,2.44466,1,6,37,3.17221,18.952,66.6836,318.178,4.31079,3041.35,0.106059,788.614,6436.33,1,1,1,1
Netflix__zuul,,java,1,207,417,73,440,2756,2309,447,3488,1224,2264,1,623,956,801,589,122,3980,747,660,2797,3013,2264,835,6.26364,4,61,8.27859,2.78182,1,47,1.01488,0,25,1.97466,1.01488,0,64,2.95813,0.82148,0,17,2.4616,22,0.277273,0.277273,7,5,2.11667,2.29257,50,2.29257,38,15,8,0.986301,2,25,6.0274,14,36,0.995169,2,15,2.01449,5,21,6.27955,4,61,2.66328,1,6,66,3.96051,16.7727,57.894,273.787,3.17946,2284.79,0.0912623,675,3465.79,1,1,1,1
OpenFeign__feign,,java,1,463,512,66,1007,4429,3614,815,4366,953,3413,1,974,878,1374,1707,360,5382,1599,1146,6126,2859,3413,1101,4.39821,2,70,7.07116,0.946375,0,21,1.38316,0,37,2.47182,1.38316,0,204,7.12424,0.770603,0,20,3,221,0.357498,0.357498,24,6,1.32738,1.71484,29,1.71484,87,10,3,0.954545,1,41,15.2576,23,339,0.99784,2,47,1.10583,3,48,4.42403,2,70,2.23301,1,5,21,2.55097,21.1898,71.3814,343.02,2.84052,1965.94,0.11434,765,3503,1,1,1,1
OpenRefine__OpenRefine,,java,1,380,2138,92,1225,6990,5744,1246,8690,3063,5627,1,2517,4031,2254,1506,786,10053,1747,2109,9538,10669,5627,2014,5.70612,4,225,8.22322,2.50041,1,45,1.36452,1,26,2.16763,1.36452,0,197,6.55261,0.805007,0,13,3.48319,264,0.641633,0.641633,111,4,1.42139,1.88541,123,1.88541,322,12,5,0.978261,2,20,13.3152,26,69,0.997368,3,17,5.62632,12,133,5.70612,4,225,2.88813,1,6,60,3.66249,21.735,84.4836,435.745,5.20953,7290.47,0.145248,1055.56,10687.5,1,1,1,1
PhilJay__MPAndroidChart,,java,1,67,387,30,259,3130,2805,325,3677,843,2834,1,453,1113,482,324,222,3973,612,308,4612,3163,2834,683,12.0849,6,117,17.8497,3.25483,1,39,1.47348,0,44,4.26743,1.47348,0,78,4.4775,0.905431,1,14,3.75208,68,0.857143,0.857143,33,5,1.77966,2.87597,33,2.87597,70,12,5,0.966667,2,16,8.63333,20,38,0.985075,2,15,5.77612,13,42,12.3668,6,117,2.36166,1,5,127,6.10124,17.0452,77.1458,406.418,6.02079,13726.7,0.135473,1073.45,13225.4,1,1,1,1
PojavLauncherTeam__PojavLauncher,,java,1,187,603,62,332,2363,2002,361,7673,4598,3075,1,789,529,595,457,81,6961,440,170,1973,6028,3075,396,7.11747,4,249,16.4671,13.8494,2,2662,0.834956,0,19,1.55116,0.834956,0,23,1.68457,1.30131,1,16,1.311,21,0.243976,0.243976,6,3,1.15068,0.87728,24,0.87728,69,12,5,0.903226,2,20,5.35484,14,45,0.994652,2,64,3.2246,8,55,7.12048,4,249,3.8033,2,5,2663,54.8122,21.7986,70.5643,364.859,5.86267,5281.65,0.12162,800.168,9305.53,1,1,1,1
