repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
DImuthuUpe__AndroidPdfViewer,,java,1,51,49,93,76,7,588,85,32,410,686,414,114,727,0
DrKLO__Telegram,TMessagesProj,java,1,8,1,14,14,0,54,7,2,18,22,48,8,91,0
DrKLO__Telegram,TMessagesProj_App,java,1,6,0,6,5,0,6,3,0,0,0,3,0,16,0
DrKLO__Telegram,TMessagesProj_AppHockeyApp,java,1,6,0,6,5,0,13,3,0,0,1,10,0,28,0
DrKLO__Telegram,TMessagesProj_AppHuawei,java,1,10,0,28,37,0,149,21,17,3,111,94,1,186,0
DrKLO__Telegram,TMessagesProj_AppStandalone,java,1,17,12,44,60,0,339,46,40,94,422,215,12,308,0
EnterpriseQualityCoding__FizzBuzzEnterpriseEdition,,java,1,118,146,176,121,39,237,95,10,69,126,104,105,394,0
Exrick__xmall,generatorSqlmapCustom,java,1,88,40,180,184,20,3857,2478,80,2318,1144,3134,244,4150,2218
Exrick__xmall,xmall-common,java,1,37,4,56,36,2,278,25,4,61,146,154,0,396,0
Exrick__xmall,xmall-content,java,1,6,0,4,5,0,22,0,0,0,0,18,0,24,0
Exrick__xmall,xmall-front-web,java,1,19,1,22,18,0,77,11,0,2,48,61,2,122,0
Exrick__xmall,xmall-manager-web,java,1,33,0,49,34,0,214,25,2,8,152,194,0,379,0
Exrick__xmall,xmall-manager,java,1,44,0,40,23,0,237,0,0,0,0,302,0,257,0
Exrick__xmall,xmall-search,java,1,6,0,4,5,0,4,0,0,0,0,7,0,6,0
Exrick__xmall,xmall-sso,java,1,10,0,12,9,0,23,0,0,0,0,37,0,29,0
GoogleContainerTools__jib,examples,java,1,11,6,12,10,0,28,10,4,7,15,11,3,48,0
GoogleContainerTools__jib,jib-build-plan,java,1,22,2,31,27,1,163,69,16,44,156,111,45,197,0
GoogleContainerTools__jib,jib-cli,java,1,9,0,6,8,0,33,3,0,14,19,8,2,58,0
GoogleContainerTools__jib,jib-core,java,1,22,7,29,23,0,142,18,21,66,115,23,6,205,0
GoogleContainerTools__jib,jib-gradle-plugin-extension-api,java,1,9,0,4,8,0,3,0,0,0,0,5,1,5,0
GoogleContainerTools__jib,jib-gradle-plugin,java,1,13,0,14,12,0,80,7,0,80,47,43,0,142,0
GoogleContainerTools__jib,jib-maven-plugin-extension-api,java,1,9,0,4,8,0,4,0,0,0,0,5,1,6,0
GoogleContainerTools__jib,jib-maven-plugin,java,1,9,0,6,8,0,82,3,0,62,59,34,0,138,0
GoogleContainerTools__jib,jib-plugins-common,java,1,53,3,96,68,2,424,79,30,200,185,303,71,528,0
GoogleContainerTools__jib,jib-plugins-extension-common,java,1,11,0,9,12,1,7,4,0,0,3,7,1,15,0
Grasscutters__Grasscutter,,java,2,652,152,1260,638,0,1008,742,213,25,9,1526,2,2498,0
Graylog2__graylog2-server,graylog-plugin-archetype,java,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Graylog2__graylog2-server,graylog-storage-elasticsearch7,java,1,105,118,176,115,25,721,112,18,306,413,960,165,1146,0
GrenderG__Toasty,,java,1,5,0,5,6,0,85,12,1,76,48,188,0,118,0
H07000223__FlycoTabLayout,,java,2,29,30,40,42,2,538,36,16,186,694,272,28,636,0
HMCL-dev__HMCL,HMCL,java,1,263,631,588,503,116,3563,515,359,2058,2765,1732,415,4561,0
HMCL-dev__HMCL,HMCLCore,java,1,383,982,893,791,205,5280,1314,589,3477,4675,3436,944,6537,3
HannahMitt__HomeMirror,,java,1,34,32,67,63,0,248,35,3,100,216,81,26,271,0
HarlonWang__AVLoadingIndicatorView,,java,2,41,26,68,41,29,245,40,1,171,186,115,5,339,0
JakeWharton__butterknife,butterknife-annotations,java,1,30,22,61,39,0,45,8,0,0,0,0,0,79,0
JakeWharton__butterknife,butterknife-compiler,java,1,16,0,37,31,8,265,40,25,244,256,226,44,311,0
JakeWharton__butterknife,butterknife-integration-test,java,1,17,0,44,52,0,80,31,18,0,18,0,0,112,0
JakeWharton__butterknife,butterknife-lint,java,1,4,0,5,5,0,20,3,1,4,9,10,0,23,0
JakeWharton__butterknife,butterknife-reflect,java,1,6,0,11,7,0,86,7,15,77,30,114,2,105,0
JakeWharton__butterknife,butterknife-runtime,java,1,9,0,14,8,0,40,4,1,13,7,70,1,74,0
JakeWharton__butterknife,butterknife,java,1,3,0,2,1,0,12,1,0,7,6,11,0,20,0
JakeWharton__butterknife,sample,java,1,13,0,18,12,7,22,9,0,7,0,8,0,33,0
JakeWharton__hugo,,java,1,5,0,4,4,0,20,2,0,16,3,17,0,41,0
JeffLi1993__springboot-learning-example,2-x-spring-boot-groovy,java,1,8,1,6,7,0,7,3,2,2,0,3,0,20,0
JeffLi1993__springboot-learning-example,2-x-spring-boot-webflux-handling-errors,java,1,12,2,12,11,0,14,7,1,1,0,16,2,37,0
JeffLi1993__springboot-learning-example,chapter-1-spring-boot-quickstart,java,1,6,0,6,5,0,6,3,0,0,0,1,0,17,0
JeffLi1993__springboot-learning-example,chapter-2-spring-boot-config,java,1,8,1,8,7,0,19,4,0,2,9,5,1,35,0
JeffLi1993__springboot-learning-example,chapter-3-spring-boot-web,java,1,11,6,10,10,1,44,20,0,13,27,29,9,69,0
JeffLi1993__springboot-learning-example,chapter-4-spring-boot-validating-form-input,java,1,13,8,12,12,1,41,13,2,8,31,28,9,68,0
JeffLi1993__springboot-learning-example,chapter-4-spring-boot-web-thymeleaf,java,1,11,5,10,10,1,38,12,1,8,24,20,7,62,0
JeffLi1993__springboot-learning-example,chapter-5-spring-boot-data-jpa,java,1,12,6,12,11,1,38,12,1,5,24,20,8,63,0
JeffLi1993__springboot-learning-example,chapter-5-spring-boot-paging-sorting,java,1,13,6,12,12,1,27,7,0,3,18,11,5,48,0
