repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
alibaba__Sentinel,sentinel-cluster,java,1,42,31,54,45,0,190,38,14,88,125,102,17,309,0
alibaba__Sentinel,sentinel-core,java,1,232,496,407,286,77,2066,478,116,1432,1560,1675,383,2945,9
alibaba__Sentinel,sentinel-dashboard,java,1,145,206,227,154,30,1609,340,58,904,1347,893,130,2348,0
alibaba__Sentinel,sentinel-demo,java,1,12,0,8,11,1,13,3,0,3,0,8,0,28,0
alibaba__Sentinel,sentinel-extension,java,1,10,0,8,9,1,49,11,2,61,16,93,0,93,0
alibaba__Sentinel,sentinel-logging,java,1,8,0,4,7,0,24,2,0,0,20,40,0,47,0
alibaba__Sentinel,sentinel-transport,java,1,59,86,84,62,19,240,73,8,53,135,118,33,386,0
alibaba__arthas,,java,14,729,1444,1271,887,305,7228,1383,583,4742,4844,4579,1068,10097,21
alibaba__atlas,atlas-core,java,1,4,0,9,9,0,68,9,3,36,60,20,2,71,0
alibaba__atlas,atlas-demo,java,1,5,0,5,6,0,64,4,3,27,129,34,5,59,0
alibaba__atlas,atlas-gradle-plugin,java,1,2,0,5,7,0,35,2,0,4,24,73,1,48,0
alibaba__atlas,atlas-update,java,1,126,89,263,220,44,1995,259,187,1354,1805,1114,590,1996,0
alibaba__canal,,java,36,921,1486,1373,1242,367,11888,2946,792,8210,10296,6671,1694,13458,25
alibaba__easyexcel,,java,1,399,1279,660,427,209,2606,688,316,1172,992,1933,815,3767,23
alibaba__fastjson,,java,1,216,525,448,337,175,3103,448,471,3712,4603,3266,794,4138,4
alibaba__jvm-sandbox,,java,9,240,280,405,361,97,1705,399,160,1138,1193,1273,326,2247,0
alibaba__nacos,,java,27,2059,6029,3274,2467,713,16168,3387,1442,13508,13274,11604,3116,21774,4
alibaba__otter,,java,12,1094,2297,1585,1222,358,9022,1655,721,6549,5758,5373,1667,12390,0
alibaba__spring-cloud-alibaba,spring-cloud-alibaba-examples,java,1,44,26,30,34,10,99,22,1,21,65,73,9,144,0
alibaba__spring-cloud-alibaba,spring-cloud-alibaba-starters,java,1,11,0,10,10,0,53,7,1,19,17,59,0,87,0
alibaba__spring-cloud-alibaba,spring-cloud-alibaba-tests,java,1,15,0,22,14,0,46,7,0,12,14,14,2,70,0
alibaba__transmittable-thread-local,ttl-agent,java,1,26,36,29,26,8,146,17,10,104,100,118,15,201,0
alibaba__transmittable-thread-local,ttl-core,java,1,53,65,92,89,42,433,87,34,223,205,302,34,632,0
alibaba__transmittable-thread-local,ttl-integrations,java,1,11,1,6,10,0,9,3,1,1,3,3,0,17,0
alibaba__transmittable-thread-local,ttl2-compatible,java,1,56,73,88,71,45,425,57,30,225,258,313,18,627,0
amitshekhariitbhu__Android-Debug-Database,,java,5,70,50,92,69,5,391,59,42,145,284,329,22,536,0
amitshekhariitbhu__from-java-to-kotlin,,java,1,4,0,2,0,0,11,2,0,0,12,5,0,20,0
android-async-http__android-async-http,,java,2,93,141,171,114,50,1109,223,75,713,831,1039,154,1569,0
android-hacker__VirtualXposed,,java,4,841,1653,1879,2288,703,7127,1582,416,4405,4933,4711,582,9096,0
android10__Android-CleanArchitecture,,java,3,101,119,131,118,28,433,78,27,177,227,207,90,662,0
android__testing-samples,runner,java,1,7,0,5,8,0,20,3,1,10,11,16,2,33,0
android__testing-samples,ui,java,1,8,0,4,7,0,9,2,0,0,6,5,0,15,0
android__testing-samples,unit,java,1,10,0,8,9,0,33,5,4,12,34,18,3,41,0
antlr__antlr4,,java,3,479,1323,873,544,302,4455,1165,553,3777,5032,3937,2025,6418,40
apache__beam,.test-infra,java,1,10,0,19,45,7,202,103,14,68,111,118,15,197,0
apache__beam,examples,java,1,26,14,22,20,3,61,7,0,17,6,35,4,88,0
apache__beam,learning,java,1,4,0,8,4,0,24,8,4,0,8,12,0,32,0
apache__beam,playground,java,1,5,0,4,4,0,11,2,1,6,2,7,0,21,0
apache__beam,plugins,java,1,3,0,3,0,0,9,3,0,0,1,8,0,15,0
apache__beam,runners,java,1,125,25,328,331,91,2108,431,182,1121,1384,1715,389,2657,19
apache__beam,sdks,java,1,6,0,2,4,0,0,0,0,0,0,0,0,1,0
apache__dolphinscheduler,dolphinscheduler-alert,java,1,11,0,11,12,0,39,8,4,3,22,5,5,36,0
apache__dolphinscheduler,dolphinscheduler-api,java,1,401,833,699,433,228,3032,871,348,1759,1843,4230,318,3879,0
apache__dolphinscheduler,dolphinscheduler-authentication,java,1,13,0,16,12,0,23,8,0,7,15,9,0,43,0
apache__dolphinscheduler,dolphinscheduler-common,java,1,135,38,244,158,18,1150,168,16,280,433,524,23,1259,0
apache__dolphinscheduler,dolphinscheduler-dao-plugin,java,1,13,2,11,14,0,18,6,0,0,2,6,1,21,0
apache__dolphinscheduler,dolphinscheduler-dao,java,1,196,202,374,203,65,2005,245,13,107,560,1258,100,1689,0
apache__dolphinscheduler,dolphinscheduler-data-quality,java,1,54,81,77,59,17,207,85,25,117,141,132,58,333,0
apache__dolphinscheduler,dolphinscheduler-datasource-plugin,java,1,26,12,30,25,2,149,21,0,45,66,88,8,236,0
apache__dolphinscheduler,dolphinscheduler-e2e,java,1,9,0,8,8,0,31,3,2,8,30,7,0,34,0
apache__dolphinscheduler,dolphinscheduler-extract,java,1,10,3,9,11,0,20,10,4,0,0,5,2,21,0
apache__dolphinscheduler,dolphinscheduler-master,java,1,256,355,441,287,97,1414,294,84,713,1039,702,329,1932,0
apache__dolphinscheduler,dolphinscheduler-meter,java,1,11,1,12,10,2,31,7,1,0,10,6,3,28,0
apache__dolphinscheduler,dolphinscheduler-microbench,java,1,12,2,11,13,3,32,5,1,10,11,7,1,49,0
apache__dolphinscheduler,dolphinscheduler-registry,java,1,24,3,37,29,3,114,31,5,37,54,66,30,175,0
apache__dolphinscheduler,dolphinscheduler-scheduler-plugin,java,1,8,0,6,7,0,8,2,0,4,0,7,2,13,0
apache__dolphinscheduler,dolphinscheduler-service,java,1,56,20,84,71,16,597,59,15,258,349,601,15,902,2
apache__dolphinscheduler,dolphinscheduler-spi,java,1,58,32,91,75,26,499,163,23,50,344,244,49,642,0
apache__dolphinscheduler,dolphinscheduler-storage-plugin,java,1,9,0,6,8,0,26,4,1,5,10,24,1,44,0
apache__dolphinscheduler,dolphinscheduler-task-plugin,java,1,173,207,301,202,57,1355,230,69,286,663,501,124,1581,25
apache__dolphinscheduler,dolphinscheduler-tools,java,1,40,23,54,47,4,158,43,11,75,71,119,9,258,0
apache__dolphinscheduler,dolphinscheduler-worker,java,1,62,65,95,63,14,285,55,5,107,200,156,94,427,0
apache__dubbo,dubbo-cluster,java,1,230,244,373,260,109,1506,319,64,681,947,995,115,2193,0
apache__dubbo,dubbo-common,java,1,515,994,897,588,186,7316,1026,238,4375,4290,4869,776,9915,12
apache__dubbo,dubbo-compiler,java,1,17,7,18,20,7,102,12,9,29,49,29,2,154,0
apache__dubbo,dubbo-config,java,1,53,35,86,55,17,1213,411,36,612,929,702,23,1656,82
apache__dubbo,dubbo-configcenter,java,1,8,0,5,9,0,31,4,2,6,30,24,0,32,0
apache__dubbo,dubbo-container,java,1,6,0,4,5,0,10,1,0,2,6,1,0,9,0
apache__dubbo,dubbo-demo,java,1,8,1,5,9,0,7,3,0,0,1,3,0,16,0
apache__dubbo,dubbo-filter,java,1,26,18,33,31,11,104,28,9,29,73,66,3,161,0
apache__dubbo,dubbo-maven-plugin,java,1,22,0,36,29,6,132,31,15,71,75,79,1,192,0
apache__dubbo,dubbo-metadata,java,1,83,76,151,102,38,843,122,21,379,610,729,112,1166,0
apache__dubbo,dubbo-metrics,java,1,91,123,156,110,43,669,136,47,301,502,577,198,1014,0
apache__dubbo,dubbo-monitor,java,1,16,7,22,15,3,54,9,0,11,21,32,2,54,0
apache__dubbo,dubbo-native-plugin,java,1,9,0,8,8,0,14,4,2,9,1,16,0,31,0
apache__dubbo,dubbo-native,java,1,25,0,41,26,7,160,40,8,108,100,107,26,246,0
apache__dubbo,dubbo-plugin,java,1,20,15,22,19,2,61,14,3,20,43,43,0,86,0
apache__dubbo,dubbo-registry,java,1,97,119,185,141,47,1313,161,62,824,1106,887,215,1755,0
apache__dubbo,dubbo-remoting,java,1,151,295,251,161,87,1350,273,103,979,759,1277,387,2094,0
apache__dubbo,dubbo-rpc,java,1,125,287,229,149,77,1324,292,79,782,810,997,217,1931,32
apache__dubbo,dubbo-serialization,java,1,22,2,34,25,6,139,14,3,74,42,90,6,157,0
apache__dubbo,dubbo-spring-boot,java,1,21,8,22,20,0,37,17,7,0,11,5,0,68,0
apache__flink,flink-annotations,java,1,15,5,28,30,0,60,8,0,0,5,8,3,51,0
apache__flink,flink-architecture-tests,java,1,11,0,16,18,0,53,10,1,34,5,39,0,99,0
apache__flink,flink-clients,java,1,109,102,197,122,27,902,175,90,447,601,842,64,1298,0
apache__flink,flink-connectors,java,1,82,48,139,122,23,678,138,49,226,575,467,39,841,13
apache__flink,flink-container,java,1,8,0,6,7,0,25,4,3,12,15,22,3,40,0
apache__flink,flink-contrib,java,1,9,0,7,10,0,72,6,3,7,79,73,0,77,0
apache__flink,flink-core-api,java,1,77,18,129,94,28,290,118,24,48,81,191,26,372,0
apache__flink,flink-core,java,1,941,2014,1989,1445,637,11098,2639,1053,4883,5959,8837,1951,14964,83
apache__flink,flink-datastream-api,java,1,32,31,53,45,17,159,82,0,0,0,152,11,189,40
apache__flink,flink-datastream,java,1,50,85,75,63,15,403,67,107,157,285,333,31,620,0
apache__flink,flink-docs,java,1,19,2,28,26,0,125,20,5,74,57,109,10,192,0
apache__flink,flink-dstl,java,1,32,0,60,43,9,355,54,28,127,425,285,52,363,0
apache__flink,flink-end-to-end-tests,java,1,10,0,6,9,0,8,3,1,0,2,4,0,19,0
apache__flink,flink-examples,java,1,43,10,95,124,1,318,86,41,92,155,195,18,407,0
apache__flink,flink-external-resources,java,1,9,0,8,8,0,21,4,2,1,14,9,0,29,0
apache__flink,flink-filesystems,java,1,14,0,19,15,4,50,12,8,9,24,27,0,77,0
apache__flink,flink-formats,java,1,17,2,18,16,0,97,26,11,22,116,98,0,122,0
apache__flink,flink-java,java,1,161,170,382,354,129,1978,723,409,925,1046,2034,45,2630,28
apache__flink,flink-kubernetes,java,1,100,210,180,134,38,804,150,92,512,539,521,139,1106,0
apache__flink,flink-libraries,java,1,99,148,188,138,20,890,212,170,147,682,877,58,1254,3
apache__flink,flink-metrics,java,1,43,34,78,58,34,370,122,25,34,64,342,45,459,0
apache__flink,flink-optimizer,java,1,146,707,274,168,101,1583,420,388,1604,1311,1240,738,2510,7
apache__flink,flink-python,java,1,268,258,482,505,146,2505,456,209,1042,1782,2172,151,3170,11
apache__flink,flink-queryable-state,java,1,47,40,82,70,17,356,60,28,83,239,234,21,513,0
apache__flink,flink-rpc,java,1,35,8,73,76,7,386,97,39,195,261,391,34,518,0
apache__flink,flink-runtime-web,java,1,48,21,85,61,10,342,67,22,76,254,201,21,420,0
apache__flink,flink-runtime,java,1,2736,8351,5765,4225,1752,31217,6904,2933,18413,25856,23463,8966,40673,51
apache__flink,flink-scala,java,1,15,0,17,20,0,86,20,1,3,25,65,0,115,0
apache__flink,flink-state-backends,java,1,44,37,84,62,27,425,77,30,136,306,481,36,620,2
apache__flink,flink-streaming-java,java,1,671,1499,1465,1225,542,8295,1941,993,4366,5970,6888,1149,11120,47
apache__flink,flink-table,java,1,57,67,111,104,16,645,108,75,314,512,383,72,778,5
apache__flink,flink-test-utils-parent,java,1,8,0,6,7,0,7,3,1,1,0,2,0,18,0
apache__flink,flink-walkthroughs,java,1,15,4,15,16,0,57,12,3,7,40,19,1,81,0
apache__flink,flink-yarn,java,1,47,43,86,63,5,560,66,30,252,549,423,27,668,0
apache__flink,tools,java,1,27,21,29,32,0,141,23,7,97,80,131,20,229,0
apache__incubator-seata,common,java,1,78,17,132,85,3,932,130,24,252,277,522,33,891,0
apache__incubator-seata,compatible,java,1,171,94,200,190,13,849,196,34,192,366,537,103,1334,0
apache__incubator-seata,compressor,java,1,7,0,4,6,0,7,2,0,2,1,4,0,15,0
apache__incubator-seata,config,java,1,7,0,4,6,0,40,3,1,9,31,17,1,43,0
apache__incubator-seata,console,java,1,29,14,34,28,2,136,32,10,28,69,77,13,207,0
apache__incubator-seata,core,java,1,229,330,410,258,109,1872,326,63,655,1225,1127,304,2421,0
apache__incubator-seata,discovery,java,1,9,0,7,10,0,53,4,2,25,47,21,3,52,0
apache__incubator-seata,ext,java,1,17,3,20,20,0,42,11,0,7,9,49,0,78,0
apache__incubator-seata,integration-tx-api,java,1,84,59,119,93,15,468,88,18,216,268,340,45,698,0
apache__incubator-seata,integration,java,1,7,0,4,6,0,10,2,0,0,3,14,0,19,0
apache__incubator-seata,metrics,java,1,18,7,24,17,5,84,15,0,1,19,18,8,76,0
apache__incubator-seata,rm-datasource,java,1,195,324,343,252,98,1536,289,100,1134,988,1426,197,2546,0
apache__incubator-seata,rm,java,1,9,0,12,12,1,54,10,0,21,16,68,2,96,0
apache__incubator-seata,rocketmq,java,1,9,0,8,8,1,35,7,2,7,26,28,6,40,0
apache__incubator-seata,saga,java,1,13,1,16,20,4,97,6,1,13,72,64,3,99,0
apache__incubator-seata,seata-spring-autoconfigure,java,1,21,10,26,20,0,184,48,0,1,113,60,1,266,0
apache__incubator-seata,seata-spring-boot-starter,java,1,10,0,9,11,0,18,5,0,0,1,13,0,31,0
apache__incubator-seata,serializer,java,1,7,0,4,6,0,9,2,0,2,3,2,0,17,0
apache__incubator-seata,server,java,1,234,329,330,282,55,1695,257,98,1316,1223,1155,313,2463,0
apache__incubator-seata,spring,java,1,39,10,46,38,3,214,30,7,72,137,195,1,307,0
apache__incubator-seata,sqlparser,java,1,40,42,661,1262,304,13738,1959,658,2621,26586,6625,3914,13766,0
apache__incubator-seata,tcc,java,1,25,8,24,24,0,115,11,2,58,44,70,2,197,0
apache__incubator-seata,test-mock-server,java,1,17,6,21,18,3,71,12,6,25,53,73,4,108,0
apache__incubator-seata,tm,java,1,28,10,48,35,6,193,41,10,107,112,118,41,291,0
apache__jmeter,,java,23,1451,3961,2538,1748,996,18909,2283,1546,16919,16320,9491,2239,23870,11
apache__kafka,clients,java,1,1225,3712,2723,2156,895,15343,3957,2672,11708,14493,12343,3858,20098,24
apache__kafka,connect,java,1,97,71,139,100,29,710,255,103,460,473,670,242,991,8
apache__kafka,core,java,1,28,5,53,57,3,511,124,22,178,666,438,37,571,0
apache__kafka,examples,java,1,9,0,15,10,0,74,8,10,50,70,65,0,83,0
apache__kafka,generator,java,1,28,0,67,65,20,518,76,41,1017,592,332,220,625,0
apache__kafka,group-coordinator,java,1,16,0,18,15,1,25,9,0,0,7,17,4,41,0
apache__kafka,jmh-benchmarks,java,1,60,0,97,96,5,605,58,4,106,528,142,25,609,0
apache__kafka,metadata,java,1,201,271,446,384,64,2931,716,301,1609,3517,1940,648,3704,0
apache__kafka,raft,java,1,79,85,170,130,30,1242,176,93,1024,1295,895,163,1618,0
apache__kafka,server-common,java,1,150,13,314,281,78,1710,308,143,595,981,1246,131,2140,21
apache__kafka,server,java,1,43,8,74,61,5,730,62,18,106,381,205,26,419,0
apache__kafka,shell,java,1,32,44,64,67,22,278,58,36,79,164,194,44,372,0
apache__kafka,storage,java,1,21,0,28,23,4,167,27,2,33,165,91,26,170,0
apache__kafka,streams,java,1,17,0,25,34,5,55,16,2,2,10,19,0,76,0
apache__kafka,tools,java,1,58,3,180,213,31,1457,142,115,740,1266,1090,74,1472,0
apache__kafka,transaction-coordinator,java,1,7,0,4,6,0,42,2,0,0,0,0,0,7,0
apache__kafka,trogdor,java,1,124,236,317,309,83,1482,321,167,680,1656,774,288,1615,0
apache__pulsar,bouncy-castle,java,1,6,0,2,4,0,3,1,0,0,0,0,0,6,0
apache__pulsar,jclouds-shaded,java,1,6,0,2,4,0,4,1,0,0,2,1,0,6,0
apache__pulsar,managed-ledger,java,1,94,133,233,247,50,1729,279,151,801,1664,1456,445,2170,0
apache__pulsar,microbench,java,1,7,0,2,5,0,8,1,0,0,6,0,0,14,0
apache__pulsar,pulsar-broker-auth-athenz,java,1,7,0,3,7,0,13,2,0,1,10,2,0,16,0
apache__pulsar,pulsar-broker-auth-oidc,java,1,15,0,16,13,0,111,8,3,33,107,64,7,105,0
apache__pulsar,pulsar-broker-auth-sasl,java,1,12,0,13,12,0,77,10,8,36,68,37,7,95,0
apache__pulsar,pulsar-cli-utils,java,1,16,2,14,12,0,20,7,0,4,1,19,0,48,0
apache__pulsar,pulsar-client-1x-base,java,1,26,16,34,30,5,306,81,12,14,152,193,20,513,0
apache__pulsar,pulsar-client-admin-api,java,1,206,159,392,321,46,2838,604,47,122,364,2634,336,2747,26
apache__pulsar,pulsar-client-admin,java,1,39,3,60,39,21,1487,39,207,1740,404,2318,2,2757,0
apache__pulsar,pulsar-client-api,java,1,126,231,271,239,56,1141,583,78,263,110,880,162,1339,12
apache__pulsar,pulsar-client-auth-athenz,java,1,9,0,4,7,0,43,2,1,7,41,9,0,39,0
apache__pulsar,pulsar-client-auth-sasl,java,1,10,0,7,10,0,37,4,4,11,24,24,2,52,0
apache__pulsar,pulsar-client-messagecrypto-bc,java,1,8,0,2,6,0,28,1,0,8,45,30,0,28,0
apache__pulsar,pulsar-client-tools-api,java,1,13,0,12,11,0,17,2,0,0,0,4,4,21,0
apache__pulsar,pulsar-client-tools,java,1,74,22,685,1209,584,2997,655,622,1981,1862,284,77,2312,0
apache__pulsar,pulsar-client,java,1,259,174,486,325,84,3659,496,244,1655,3200,2445,387,4776,0
apache__pulsar,pulsar-common,java,1,306,84,512,405,38,3561,572,128,1238,2775,2719,198,4389,3
apache__pulsar,pulsar-config-validation,java,1,11,0,32,53,11,96,26,3,49,39,89,3,119,0
apache__pulsar,pulsar-docs-tools,java,1,8,0,6,10,0,36,5,2,12,21,24,0,48,0
apache__pulsar,pulsar-functions,java,1,25,5,31,23,5,175,8,2,11,10,101,7,195,0
apache__pulsar,pulsar-io,java,1,9,0,7,9,1,34,6,1,3,17,12,1,31,0
apache__pulsar,pulsar-opentelemetry,java,1,10,0,11,17,0,40,6,0,0,7,4,0,21,0
apache__pulsar,pulsar-package-management,java,1,13,0,10,11,0,46,6,4,21,28,28,1,77,0
apache__pulsar,pulsar-proxy,java,1,39,14,62,50,1,583,50,35,177,547,239,67,463,0
apache__pulsar,pulsar-testclient,java,1,33,13,57,54,13,503,42,13,167,569,177,32,346,0
apache__pulsar,pulsar-transaction,java,1,11,0,2,8,0,2,1,0,0,0,1,0,4,0
apache__pulsar,pulsar-websocket,java,1,48,30,64,47,4,405,47,22,97,322,123,42,379,0
apache__pulsar,structured-event-log,java,1,19,17,22,19,5,111,65,8,31,65,72,15,157,0
apache__pulsar,testmocks,java,1,17,1,25,31,0,320,37,17,180,316,348,16,446,0
apache__pulsar,tiered-storage,java,1,12,2,9,15,0,81,11,3,18,111,67,3,74,0
apache__rocketmq,acl,java,1,26,23,47,39,8,355,55,38,182,312,231,37,446,0
apache__rocketmq,auth,java,1,80,176,106,83,17,522,118,66,391,290,409,188,815,2
apache__rocketmq,broker,java,1,157,243,275,209,22,2453,248,138,2140,2808,2145,307,3394,0
apache__rocketmq,client,java,1,175,389,323,224,58,3056,408,381,2680,2975,3120,574,4370,0
apache__rocketmq,common,java,1,205,89,355,229,28,2537,268,48,678,1729,1323,119,3337,0
apache__rocketmq,container,java,1,15,1,22,18,2,170,19,10,90,129,87,20,228,0
apache__rocketmq,controller,java,1,60,88,95,72,13,614,100,70,402,625,430,83,844,0
apache__rocketmq,example,java,1,72,0,118,86,0,410,67,13,105,265,122,9,492,0
apache__rocketmq,filter,java,1,37,16,65,53,32,499,118,56,447,554,359,138,705,0
apache__rocketmq,namesrv,java,1,19,13,25,21,1,232,21,17,155,307,198,21,348,0
apache__rocketmq,openmessaging,java,1,25,23,33,26,2,250,15,13,83,183,137,8,370,0
apache__rocketmq,proxy,java,1,206,455,356,272,63,2174,341,199,1190,1560,2240,625,3142,0
apache__rocketmq,remoting,java,1,330,683,624,372,223,4145,499,126,959,3242,1868,277,5694,0
apache__rocketmq,srvutil,java,1,8,0,10,11,0,38,4,0,10,34,21,4,42,0
apache__rocketmq,store,java,1,147,288,316,277,59,4126,470,186,3699,4479,2625,530,5313,0
apache__rocketmq,tieredstore,java,1,59,124,90,65,14,841,108,31,510,949,530,121,1067,0
apache__rocketmq,tools,java,1,143,421,236,148,97,1184,152,303,787,560,1575,73,2193,0
apache__seatunnel,seatunnel-api,java,1,203,238,380,262,82,1505,437,117,875,604,1360,259,1919,1
apache__seatunnel,seatunnel-common,java,1,47,6,86,66,2,296,94,29,77,112,284,19,436,0
apache__seatunnel,seatunnel-config,java,1,16,4,19,21,0,158,64,30,115,155,151,17,245,0
apache__seatunnel,seatunnel-connectors-v2,java,1,28,13,34,27,2,120,17,13,21,81,58,18,159,0
apache__seatunnel,seatunnel-core,java,1,42,16,63,47,5,150,47,5,56,47,118,7,237,0
apache__seatunnel,seatunnel-engine,java,1,16,10,19,17,1,100,28,11,29,86,109,16,155,0
apache__seatunnel,seatunnel-examples,java,1,7,0,4,6,0,5,2,0,1,0,3,0,13,0
apache__seatunnel,seatunnel-formats,java,1,13,8,14,12,0,43,7,6,19,30,24,2,59,0
apache__seatunnel,seatunnel-plugin-discovery,java,1,13,8,14,12,5,66,14,1,35,25,51,12,104,0
apache__seatunnel,seatunnel-transforms-v2,java,1,66,40,99,67,15,520,56,61,259,422,278,31,660,0
apache__seatunnel,seatunnel-translation,java,1,22,2,28,21,2,123,8,4,19,119,70,1,162,0
apache__shardingsphere,agent,java,1,17,6,16,16,3,18,1,0,0,0,34,5,24,0
apache__shardingsphere,db-protocol,java,1,33,6,36,32,0,34,9,0,4,8,24,5,64,0
apache__shardingsphere,examples,java,1,42,26,54,41,19,167,28,2,35,19,43,4,316,0
apache__shardingsphere,features,java,1,37,28,34,36,5,99,24,17,39,29,108,21,191,0
apache__shardingsphere,infra,java,1,23,3,26,22,7,35,16,2,3,3,32,4,50,0
apache__shardingsphere,jdbc,java,1,125,141,164,132,36,1663,93,76,694,791,1631,110,2998,0
apache__shardingsphere,kernel,java,1,10,2,6,9,0,7,1,0,0,0,2,1,8,0
apache__shardingsphere,mode,java,1,25,12,30,28,0,88,14,5,38,45,74,10,124,0
apache__shardingsphere,parser,java,1,24,4,24,23,0,69,11,5,34,0,60,1,147,0
apache__shardingsphere,proxy,java,1,171,213,235,172,27,736,156,65,366,317,560,107,1160,0
apache__shardingsphere-elasticjob,,java,21,542,646,606,514,105,1828,384,278,1031,1193,993,420,2463,0
apache__shenyu,shenyu-admin-listener,java,1,14,1,15,15,3,67,5,0,54,45,84,3,99,0
apache__shenyu,shenyu-admin,java,1,549,1570,1035,710,201,7109,1657,408,4821,5656,4518,1174,9482,0
apache__shenyu,shenyu-alert,java,1,19,8,24,22,3,143,14,5,10,84,55,5,203,0
apache__shenyu,shenyu-client,java,1,8,0,4,7,0,5,0,0,0,0,0,0,7,0
apache__shenyu,shenyu-common,java,1,179,61,379,296,39,2774,488,74,340,2274,1171,124,3185,0
apache__shenyu,shenyu-discovery,java,1,11,2,9,12,0,29,4,0,0,14,16,5,42,0
apache__shenyu,shenyu-disruptor,java,1,20,13,25,21,1,65,19,9,20,33,47,3,92,0
apache__shenyu,shenyu-e2e,java,1,16,4,18,19,3,91,11,2,25,90,81,3,131,0
apache__shenyu,shenyu-examples,java,1,10,0,6,8,0,6,3,1,0,1,1,0,14,0
apache__shenyu,shenyu-integrated-test,java,1,32,1,46,31,1,194,40,0,12,157,140,12,309,0
apache__shenyu,shenyu-kubernetes-controller,java,1,32,40,46,31,11,324,39,31,202,319,334,16,388,0
apache__shenyu,shenyu-loadbalancer,java,1,21,13,28,24,7,185,39,4,81,161,90,14,245,0
apache__shenyu,shenyu-plugin,java,1,27,8,36,26,1,122,22,1,52,48,111,8,190,0
apache__shenyu,shenyu-protocol,java,1,9,1,5,10,0,19,3,1,2,12,12,0,26,0
apache__shenyu,shenyu-register-center,java,1,10,2,7,11,1,33,3,4,18,19,24,3,47,0
apache__shenyu,shenyu-registry,java,1,12,2,9,13,0,49,12,2,6,37,24,3,68,0
apache__shenyu,shenyu-sdk,java,1,21,15,25,26,2,125,31,6,37,102,88,27,167,0
apache__shenyu,shenyu-spi,java,1,9,0,12,12,1,50,6,3,27,28,26,0,55,0
apache__shenyu,shenyu-spring-boot-starter,java,1,8,0,4,7,0,7,2,0,0,0,13,0,17,0
apache__shenyu,shenyu-sync-data-center,java,1,15,11,18,18,1,101,4,0,66,57,110,14,141,0
apache__shenyu,shenyu-web,java,1,41,4,65,54,4,276,45,11,84,187,154,13,379,0
apache__skywalking,,java,70,2474,6985,3615,2736,1138,12424,3127,2218,8026,8523,6758,3465,15351,18
apache__tomcat,apache__tomcat,java,1,2679,5718,4168,3269,1299,35057,4436,2303,36793,31564,21670,6704,45883,3
apache__tomcat,modules,java,1,47,31,93,82,26,1468,93,34,1143,862,739,105,1934,0
apache__tomcat,webapps,java,1,110,18,148,95,6,670,93,27,219,519,304,33,954,0
apache__zeppelin,apache__zeppelin,java,1,7,0,7,7,0,17,4,1,1,4,16,0,33,0
apache__zeppelin,cassandra,java,1,6,0,4,5,0,84,2,0,3,65,15,0,29,0
apache__zeppelin,elasticsearch,java,1,16,18,23,21,3,121,37,26,78,82,117,10,172,0
apache__zeppelin,file,java,1,7,0,14,22,1,78,11,2,24,88,41,13,77,0
apache__zeppelin,flink-cmd,java,1,7,0,5,8,0,13,3,1,1,8,12,0,16,0
apache__zeppelin,flink,java,1,24,7,39,29,5,267,22,6,80,262,156,8,357,0
apache__zeppelin,groovy,java,1,7,0,6,6,0,55,3,2,11,44,61,1,92,0
apache__zeppelin,helium-dev,java,1,8,0,9,9,2,45,7,1,10,25,36,5,71,0
apache__zeppelin,jdbc,java,1,14,3,18,17,0,204,15,6,107,186,137,3,242,0
apache__zeppelin,livy,java,1,17,0,38,40,10,209,46,15,113,164,117,19,252,0
apache__zeppelin,markdown,java,1,13,0,22,20,2,94,16,8,12,52,56,3,129,0
apache__zeppelin,neo4j,java,1,9,1,7,10,0,60,4,1,25,44,35,1,67,0
apache__zeppelin,python,java,1,11,0,17,16,0,168,14,6,83,136,93,6,228,0
apache__zeppelin,rlang,java,1,12,1,20,18,0,126,24,18,48,95,56,14,172,0
apache__zeppelin,shell,java,1,15,8,14,14,0,112,9,3,39,110,47,8,146,0
apache__zeppelin,spark,java,1,16,0,24,15,0,182,15,1,91,140,63,7,266,0
apache__zeppelin,sparql,java,1,7,0,7,8,1,29,3,1,5,19,13,1,35,0
apache__zeppelin,zeppelin-client-examples,java,1,16,0,24,19,0,28,13,2,0,0,25,0,64,0
apache__zeppelin,zeppelin-client,java,1,19,3,29,20,3,193,67,17,162,134,201,27,301,0
apache__zeppelin,zeppelin-common,java,1,7,0,7,8,1,44,9,0,0,32,26,4,56,0
apache__zeppelin,zeppelin-interpreter,java,1,208,183,1178,1850,45,9625,2688,1103,5450,7111,6636,1805,10924,4
apache__zeppelin,zeppelin-jupyter-interpreter,java,1,9,0,11,10,0,71,9,7,27,58,47,2,101,0
apache__zeppelin,zeppelin-jupyter,java,1,33,27,53,38,9,160,53,9,65,69,47,9,224,0
apache__zeppelin,zeppelin-plugins,java,1,8,0,6,7,0,20,3,2,4,17,23,0,28,0
apache__zeppelin,zeppelin-server,java,1,102,99,179,118,5,1114,116,195,941,977,1167,220,1673,0
apache__zeppelin,zeppelin-zengine,java,1,121,132,229,186,32,1791,303,112,1378,1740,1573,302,2498,0
apache__zookeeper,,java,9,604,1115,1345,1199,386,8976,1374,936,7219,9105,5582,1806,11241,0
