repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed
527515025__springBoot,springboot-kafka,java,1,6,4,5,4,10,6,4,12,9,3,1,9,0,8,8,0,19,4,0,3,7,3,1,2.5,2,4,0.866025,2.25,1,7,0.3,0,1,0.458258,0.3,0,1,0.458258,0.3,0,1,0.777778,1,0,0,0,,,0,0,0,0,6,3,2.5,2,4,2.5,1,5,11,3.07409,15.1667,51.5,220.994,1.78391,446.227,0.0736647,693.587,1606.81,0,0,0,1
527515025__springBoot,springboot-mybatis,java,1,11,11,10,11,57,48,9,49,24,25,1,21,6,22,20,1,81,9,0,3,41,25,2,5.18182,2,37,10.0708,2.18182,1,18,0.0526316,0,2,0.29146,0.0526316,0,1,0.223297,0.438596,0,1,1.70833,2,0.0909091,0.0909091,1,1,1,0.545455,2,0.545455,2,7,4,5.18182,2,37,1.36842,1,2,12,1.67155,7.84444,20.2,75.0847,1.8027,944.628,0.0250282,96.2114,169.128,1,1,0,1
527515025__springBoot,springboot-mybatis2,java,1,6,4,5,4,28,25,3,26,8,18,1,9,3,8,8,0,36,7,0,5,19,18,5,7,5.5,15,4.84768,2,0.5,7,0.178571,0,1,0.382993,0.178571,0,1,0.382993,0.642857,1,1,2.375,5,0,0,0,,,0.75,2,0.75,2,5,2,7,5.5,15,0.892857,1,1,2,0.488386,6.5,12.65,34.9972,1.10179,41.2135,0.0116657,51,58.2857,1,0,0,1
527515025__springBoot,springboot-neo4j,java,1,10,11,9,11,73,63,10,74,35,39,1,20,12,22,19,2,108,19,4,27,65,39,12,6.63636,4,20,5.94326,3.18182,2,9,0.369863,0,9,1.24424,0.369863,0,3,0.630435,0.534247,1,2,1.85714,4,0.181818,0.181818,2,1,1,1.09091,7,1.09091,4,7,4,6.63636,4,20,1.54795,1,2,13,1.8135,8.39344,21.0164,77.5183,1.51553,329.434,0.0258394,188,604.286,1,1,1,1
527515025__springBoot,springboot-redis-queue,java,1,7,5,6,5,16,11,5,28,14,14,1,11,2,10,10,0,30,5,0,6,13,14,2,3.2,2,7,1.93907,2.8,1,10,0.375,0,2,0.599479,0.375,0,1,0.484123,0.875,0,9,0.928571,1,0,0,0,,,0.4,2,0.4,1,6,3,3.2,2,7,2.5625,1,8,14,3.49944,13.1818,43.5455,168.876,1.93973,391.06,0.0562918,322.647,968.479,1,0,0,1
527515025__springBoot,springboot-rocketmq-ali,java,1,6,6,5,6,25,19,6,36,21,15,1,11,2,12,10,0,46,6,0,2,33,15,5,4.16667,2,14,4.41273,3.5,2,10,0.08,0,1,0.271293,0.08,0,1,0.271293,0.6,0,3,1.57143,3,0,0,0,,,0.333333,1,0.333333,1,6,3,4.16667,2,14,2.12,1,3,17,3.22887,11.0526,29.8421,123.928,1.43379,284.23,0.0413092,385.436,1951.15,1,0,0,1
527515025__springBoot,springboot-rocketmq,java,1,7,5,6,5,10,5,5,10,9,1,1,11,5,10,10,0,19,5,0,1,14,1,2,2,2,4,1.09545,1.8,2,3,0.1,0,1,0.3,0.1,0,1,0.3,0.1,0,1,1.55556,4,0,0,0,,,1,3,1,3,6,3,2,2,4,2.8,1,7,8,2.63818,13,24.4,103.199,1.70554,215.196,0.0343997,361.21,778.859,1,0,0,1
527515025__springBoot,springboot-shiro,java,1,9,22,8,22,177,159,18,158,56,102,1,30,21,44,29,0,233,43,1,42,167,102,28,8.04545,6,46,9.59866,2.54545,1,22,0.237288,0,6,0.601476,0.237288,0,3,0.475584,0.576271,1,3,2.98214,6,0,0,0,,,0.954545,5,0.954545,4,5,2,8.04545,6,46,1.26554,1,2,15,1.69165,8.42647,20.3235,75.1009,1.24864,195.326,0.0250336,95.1839,87.862,1,0,1,1
527515025__springBoot,springboot-shiro2,java,1,14,25,13,26,150,124,26,187,71,116,1,38,13,51,39,0,221,27,12,51,123,116,2,5.76923,4,17,4.33508,2.73077,2,11,0.34,0,4,0.728743,0.34,0,4,0.75569,0.773333,0.5,9,1.73239,9,0,0,0,,,0.52,4,0.52,3,7,4,5.76923,4,17,2.62667,1,6,17,2.5834,12.6638,35.0517,145.013,2.123,641.046,0.0483376,377.739,1308.6,1,0,1,1
527515025__springBoot,springboot-springCloud,java,1,6,4,5,4,10,6,4,8,3,5,1,9,3,8,8,0,13,4,1,0,6,5,1,2.5,2,6,2.17945,0.75,0.5,2,0,0,0,0,0,0,0,0,0.5,0.5,1,2,3,0,0,0,,,0.75,2,0.75,2,5,2,2.5,2,6,1.4,1,2,4,0.916515,8.66667,19,66.0898,1.2739,93.4557,0.0220299,229.062,313.454,1,0,1,1
