repo,subrepo,lang,includes,contains,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,overrides
0xZ0F__Z0FCourse_ReverseEngineering,,cpp,0,13,61,0,0,39,0,0,0,26,0,1,0
360Controller__360Controller,,cpp,34,58,1900,15,5,1611,0,4,79,499,0,55,1
AGWA__git-crypt,,cpp,37,27,1271,17,0,923,0,10,102,401,0,26,0
AaronFeng753__Waifu2x-Extension-GUI,,cpp,33,39,6448,2,0,5940,0,0,362,2891,0,0,0
Aircoookie__WLED,,cpp,155,259,11944,493,51,9429,156,88,2178,8122,501,516,30
Alex313031__thorium,,cpp,55,272,7525,1800,5,5037,31,20,311,1683,5,113,16
Alinshans__MyTinySTL,,cpp,43,51,10276,1139,114,8646,212,81,572,6307,1262,242,81
Arduino-IRremote__Arduino-IRremote,,cpp,8,95,1041,0,0,915,0,0,75,154,0,12,0
AutoHotkey__AutoHotkey,,cpp,314,150,23040,107,23,19351,317,113,1996,15586,39,1248,6
BlueMatthew__WechatExporter,,cpp,92,79,4477,16,8,3934,2,29,155,1254,14,72,13
Const-me__Whisper,,cpp,572,309,8961,527,24,7256,52,23,853,5358,34,325,7
DarthTon__Blackbone,,cpp,378,261,16117,1067,50,13577,63,14,252,1924,320,763,52
DayBreak-u__chineseocr_lite,,cpp,135,174,9070,153,2,3416,30,31,266,2515,14,192,0
FastLED__FastLED,,cpp,67,160,4092,30,11,3584,41,80,501,2881,133,221,6
HKUST-Aerial-Robotics__VINS-Mono,,cpp,139,143,8621,213,21,7125,17,39,278,3798,145,130,42
HackerPoet__NonEuclidean,,cpp,87,54,1189,2,16,966,55,72,206,882,6,90,15
LANDrop__LANDrop,,cpp,36,29,438,9,2,356,0,0,8,79,0,8,2
LordNoteworthy__al-khaser,,cpp,147,158,2160,15,0,1350,0,0,110,507,1,63,0
MatsuriDayo__nekoray,,cpp,228,160,4466,241,27,3412,89,37,189,1556,13,272,34
MicroCBer__BetterNCM,,cpp,35,26,933,47,4,618,8,6,18,217,19,19,0
N64Recomp__N64Recomp,,cpp,4,11,683,17,0,531,2,5,11,344,5,15,0
Neargye__magic_enum,,cpp,39,33,6933,1359,82,5328,166,48,197,2143,780,381,169
Nevcairiel__LAVFilters,,cpp,515,662,17661,111,53,14253,80,94,304,4440,53,1053,5
Qv2ray__Qv2ray,,cpp,419,305,14717,1569,131,11724,208,166,591,3351,307,788,259
R3nzTheCodeGOD__R3nzSkin,,cpp,65,68,20622,1548,20,17168,173,308,2745,16654,377,989,6
RedisInsight__RedisDesktopManager,,cpp,295,189,5394,142,35,4198,12,15,117,894,27,82,82
ShiqiYu__libfacedetection,,cpp,7,25,641,0,0,468,2,0,7,362,6,12,0
Squirrel__Squirrel,,cpp,41,55,1234,169,1,998,2,2,17,190,36,65,0
TarsCloud__Tars,,cpp,6,11,263,14,2,235,0,1,2,52,0,2,0
Tatsu-syo__noMeiryoUI,,cpp,54,47,1086,6,6,801,0,7,90,409,0,4,4
Tencent__libco,,cpp,25,22,1093,2,4,738,0,6,203,730,11,14,2
TheAssassin__AppImageLauncher,,cpp,69,56,942,33,6,657,1,1,63,259,5,8,0
TranslucentTB__TranslucentTB,,cpp,427,211,5206,235,15,4129,48,20,165,771,101,155,1
ValveSoftware__openvr,,cpp,271,230,42940,3111,31,26642,803,89,2218,10743,38,2601,87
WiseLibs__better-sqlite3,,cpp,4,10,28343,66,3,21659,1,3,8809,29818,4,661,6
acaudwell__Gource,,cpp,97,68,5663,12,48,4789,24,85,855,2483,0,153,178
albertlauncher__albert,,cpp,206,126,1977,121,3,1383,3,2,44,390,0,57,3
alibaba__AndFix,,cpp,20,20,592,13,4,348,0,0,3,142,0,14,0
amhndu__SimpleNES,,cpp,69,43,1187,88,8,931,7,1,70,328,0,37,6
ange-yaghi__engine-sim,,cpp,402,207,7394,326,97,6006,53,50,900,4093,20,315,302
applenob__Cpp_Primer_Practice,,cpp,50,83,858,3,8,626,16,23,63,301,4,34,11
aristocratos__btop,,cpp,61,48,7946,1435,21,5801,94,42,476,4100,944,333,7
async-profiler__async-profiler,,cpp,237,113,5994,10,37,4905,40,102,1443,4280,1,236,58
barry-ran__QtScrcpy,,cpp,33,41,1046,3,3,791,1,0,58,229,0,7,6
changkun__modern-cpp-tutorial,,cpp,9,77,602,31,2,397,2,5,23,215,44,13,1
cmderdev__cmder,,cpp,1,5,134,0,0,120,1,0,0,42,0,2,0
cp-algorithms__cp-algorithms,,cpp,7,66,658,35,0,425,0,0,51,273,0,0,0
diasurgical__devilution,,cpp,229,208,24525,1,0,18020,0,0,3209,23031,3,313,0
doctest__doctest,,cpp,70,82,5875,493,34,3854,62,344,1028,3398,292,650,93
draios__sysdig,,cpp,67,44,3819,27,12,3252,21,14,209,1842,0,166,10
duilib__duilib,,cpp,183,183,12017,380,89,9988,60,73,743,3822,29,378,377
dusty-nv__jetson-inference,,cpp,141,151,7313,58,15,6550,22,32,293,2975,43,316,2
emcrisostomo__fswatch,,cpp,92,68,1453,71,3,1001,4,0,135,490,0,55,3
epezent__implot,,cpp,7,8,6173,465,16,5343,36,85,796,4610,153,183,0
espressif__arduino-esp32,,cpp,375,1029,16184,68,57,12730,162,236,1866,6262,18,749,248
facebook__yoga,,cpp,253,187,11773,871,29,8693,378,47,1384,4402,412,847,6
falcosecurity__falco,,cpp,225,150,5347,254,35,4452,47,34,176,1083,35,275,71
filecxx__FileCentipede,,cpp,143,115,3570,83,6,2622,1,2,179,480,13,8,0
flameshot-org__flameshot,,cpp,530,359,7826,121,43,6180,118,93,494,1950,1,427,179
flashlight__wav2letter,,cpp,174,147,3560,179,13,2594,3,8,47,998,83,56,25
focus-creative-games__hybridclr,,cpp,144,77,17662,1507,828,14781,61,14,946,9510,19,276,12
forhappy__Cplusplus-Concurrency-In-Practice,,cpp,0,5,5,0,0,3,0,0,0,1,0,0,0
gabime__spdlog,,cpp,173,157,7835,958,82,6228,79,50,567,2922,975,421,126
gaoxiang12__slambook,,cpp,31,170,3421,167,0,2547,45,12,110,1366,256,55,0
gaoxiang12__slambook2,,cpp,56,97,2368,28,0,1996,2,4,71,976,10,11,0
ggerganov__kbd-audio,,cpp,78,41,5833,76,0,4307,5,3,355,3643,68,145,0
gibsjose__cpp-cheat-sheet,,cpp,2,6,43,1,0,34,0,0,4,19,0,0,0
goldendict__goldendict,,cpp,724,623,18958,743,171,15619,31,259,1313,6811,13,716,158
google__benchmark,,cpp,170,103,4612,500,33,3031,29,73,484,1444,73,236,56
google__bloaty,,cpp,47,58,4678,332,13,3942,14,28,297,1546,83,226,10
google__flutter-desktop-embedding,,cpp,30,72,724,42,1,388,0,1,9,123,0,0,2
google__gemma,,cpp,54,39,15617,1595,33,12769,24,60,1088,10110,1507,438,8
google__glog,,cpp,92,70,2549,483,0,1740,23,9,297,892,44,98,0
google__guetzli,,cpp,66,54,3782,353,1,3275,2,17,165,2455,20,53,10
google__leveldb,,cpp,380,144,9448,652,82,7747,396,352,1707,4662,12,564,298
google__libphonenumber,,cpp,204,131,5750,620,20,4495,82,54,535,1888,155,156,17
google__re2,,cpp,134,85,8294,1117,6,6639,75,156,1088,4294,84,381,1
google__snappy,,cpp,29,19,1721,217,7,1393,6,36,105,824,14,35,13
gzc__CLRS,,cpp,18,107,2131,4,0,1751,2,25,274,1473,7,73,0
haoel__leetcode,,cpp,3,993,8548,7,7,7292,3,40,346,5405,10,56,6
hluk__CopyQ,,cpp,876,347,27547,1021,69,22943,736,115,2398,6580,76,1488,302
huihut__interview,,cpp,26,72,639,2,16,468,0,13,116,514,0,25,25
id-Software__DOOM,,cpp,473,151,8568,1,0,5491,56,0,1567,9160,0,459,0
idea4good__GuiLite,,cpp,24,29,1325,0,14,1227,5,33,351,1577,0,110,43
ideawu__ssdb,,cpp,618,419,21975,1012,257,17808,438,908,3765,10905,21,1111,431
interpretml__interpret,,cpp,393,131,15053,744,36,13074,45,125,1388,10360,652,190,1
ipkn__crow,,cpp,32,40,2679,267,35,2102,21,41,248,1453,150,176,37
jomjol__AI-on-the-edge-device,,cpp,215,140,9507,16,25,7712,34,19,616,5206,0,255,68
justadudewhohacks__opencv4nodejs,,cpp,175,254,1435,79,27,1218,0,0,0,54,29,0,0
justcallmekoko__ESP32Marauder,,cpp,52,43,2406,8,0,1814,0,0,148,1064,4,89,0
kamyu104__LeetCode-Solutions,,cpp,0,2837,38516,111,3,30945,21,73,536,17636,114,183,2
kdrag0n__safetynet-fix,,cpp,2,7,195,14,1,143,0,1,14,63,3,2,4
keepassxreboot__keepassxc,,cpp,1840,810,32377,776,141,25794,307,398,2314,7758,63,1277,230
