repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,scope_to_scope_fanout_mean,scope_to_scope_fanout_p90,scope_to_scope_fanout_max,scope_to_type_fanout_mean,scope_to_type_fanout_p90,scope_to_type_fanout_max,folder_to_folder_fanout_mean,folder_to_folder_fanout_p90,folder_to_folder_fanout_max,folder_to_file_fanout_mean,folder_to_file_fanout_p90,folder_to_file_fanout_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed,n_type_inbound,n_type_outbound,n_type_transit,n_type_hidden,pct_type_classified,pkg_pct_inbound_mean,pkg_pct_outbound_mean,pkg_pct_transit_mean,pkg_pct_hidden_mean,pkg_pct_inbound_max,pkg_pct_outbound_max,pkg_pct_transit_max,pkg_pct_hidden_max,pkg_profile_entropy_mean,pct_pkg_dominant_inbound,pct_pkg_dominant_outbound,pct_pkg_dominant_transit,pct_pkg_dominant_hidden
leethomason__tinyxml2,,cpp,1,2,4,1,32,452,389,34,1578,66,704,3,6,0,2267,33,10,1999,54,42,684,1598,8,207,13.2188,8.5,79,18.666,2.0625,0.5,14,1.51327,1,152,7.27447,1.51327,1,25,2.37563,0.0110619,0,4,4.33333,25,0.3125,0.3125,6,2,1.1,0,0,0,0,3,0,0,0,0,20,20,20,0.5,1,1,2,3,3,,,,,,,,,,,,,,,,,0,1,1,1,3,2,0,27,1,0.15,0,0,0.85,0.15,0,0,0.85,0.60984,0,0,0,1
lettier__3d-game-shaders-for-beginners,,cpp,1,3,1,0,2,20,0,0,429,17,100,0,4,0,451,0,0,328,1,0,7,244,0,34,0,0,0,0,8.5,8.5,12,0.35,0,4,0.90967,0.3,0,3,0.714143,0,0,0,0.588235,2,0,0,0,,,0,0,0,0,4,,,,,,,,0.666667,1,1,0.333333,1,1,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,2,1,,,,,,,,,,,,,
libcpr__cpr,,cpp,1,6,116,7,185,1108,600,307,2165,216,1269,170,122,0,3869,303,31,3040,63,34,175,591,123,114,4.9027,2,141,12.4818,1.16757,0,21,0.157942,0,7,0.483818,0.156137,0,9,0.696813,0.107401,0,4,0.430556,8,0.167568,0.167568,13,1,1,0,0,0,0,4,1,0.571429,4,4,16.8571,74,74,0.833333,4,4,19.3333,49,49,,,,,,,,,,,,,,,,,0,1,1,1,4,16,0,165,1,0.0108108,0.00540541,0,0.983784,0.0540541,0.027027,0,1,0.0960867,0,0,0,1
linyacool__WebServer,,cpp,1,15,131,2,86,443,278,57,1951,199,906,191,146,0,4302,36,28,2166,3,49,208,1506,12,93,3.89535,1,27,5.92399,2.31395,0,21,0.469526,0,18,1.44761,0.469526,0,11,1.01272,0.0180587,0,4,1.61809,6,0.325581,0.325581,17,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0.933333,3,6,8.73333,22,30,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,86,1,,,,,,,,,,,,,
liuruoze__EasyPR,,cpp,1,17,61,12,204,1389,959,105,6146,546,2778,98,78,0,8138,496,5,7101,68,53,413,4058,33,218,5.21569,0,103,13.2348,2.67647,0,24,0.297336,0,19,1.09722,0.292297,0,17,0.881506,0.0208783,0,2,1.90659,56,0.0245098,0.0245098,3,1,1,0,0,0,0,5,1,0.416667,2,2,8.33333,22,22,0.941176,4,5,3.58824,10,12,,,,,,,,,,,,,,,,,0,1,1,1,2,2,1,199,1,0,0.02,0.01,0.97,0,0.2,0.1,1,0.119092,0,0,0,1
lltcggie__waifu2x-caffe,,cpp,1,8,72,4,177,693,502,121,3430,254,1958,72,80,0,4488,161,32,3900,41,32,206,1790,32,119,3.51977,0,44,7.5943,1.43503,0,46,0.297258,0,9,0.802921,0.294372,0,9,0.82524,0.024531,0,1,1.44094,8,0.180791,0.180791,3,2,1.1875,0,0,0,0,4,0,0,0,0,22.5,43,43,0.875,5,5,9,24,24,,,,,,,,,,,,,,,,,0,1,1,1,2,1,0,174,1,0.0116279,0,0,0.988372,0.0465116,0,0,1,0.0678474,0,0,0,1
me115__design_patterns,,cpp,1,19,157,0,63,230,100,66,213,28,124,172,176,0,782,0,33,442,0,45,57,118,0,4,2.63492,2,7,1.0882,0.444444,0,3,0.247826,0,27,1.83786,0.247826,0,2,0.479465,0,0,0,1.46429,5,0.52381,0.52381,3,2,1.06061,0,0,0,0,4,,,,,,,,0.947368,1,17,8.26316,11,19,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,63,1,,,,,,,,,,,,,
microsoft__Detours,,cpp,1,37,102,36,524,4008,1241,215,15119,926,8193,100,139,0,20084,844,80,14594,148,64,218,3523,280,534,2.77863,0,79,6.82697,1.76718,1,31,0.0543912,0,7,0.362316,0.0513972,0,15,0.493322,0.0479042,0,3,0.342333,12,0.152672,0.152672,11,3,1.45333,0,0,0,0,4,3,0.861111,4,8,7.55556,24,97,0.972973,0,33,2.75676,7,13,,,,,,,,,,,,,,,,,0,1,1,1,8,8,0,508,1,0.0369727,0.0626463,0,0.900381,0.333333,1,0,1,0.185927,0,0.0434783,0,0.956522
microsoft__GSL,,cpp,1,2,13,6,70,309,97,58,490,16,258,7,15,0,227,154,4,673,39,0,33,168,242,48,2.21429,0,18,3.65237,0.228571,0,2,0.106796,0,2,0.31916,0.100324,0,14,0.955126,0.666667,0,8,1.375,6,0.0571429,0.0571429,1,1,1,0,0,0,0,3,1,0.333333,1,1,5.5,17,17,0.5,1,1,6.5,13,13,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,70,1,0,0,0,1,0,0,0,1,0,0,0,0,1
microsoft__IoT-For-Beginners,,cpp,1,133,73,0,14,67,31,3,335,54,62,48,206,0,1104,4,0,330,1,1,32,223,0,27,2.42857,1,10,2.99319,3.85714,3,13,0.477612,0,10,1.66041,0.477612,0,2,0.607373,0,0,0,0.611111,5,0,0,0,,,0,0,0,0,9,,,,,,,,0.992481,2,6,0.548872,2,9,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,14,1,,,,,,,,,,,,,
microsoft__wslg,,cpp,1,5,30,3,67,161,77,19,545,138,184,38,35,0,834,41,0,607,2,7,60,283,12,47,1.43284,0,12,3.17276,2.0597,0,14,0.372671,0,12,1.1411,0.360248,0,15,1.44271,0.0496894,0,3,0.413043,7,0,0,0,,,0,0,0,0,4,1,0.333333,1,1,6,9,9,0.8,3,3,6,16,16,,,,,,,,,,,,,,,,,0,0,1,1,1,2,0,64,1,0.0555556,0.222222,0,0.722222,0.166667,0.666667,0,1,0.522773,0,0.333333,0,0.666667
mltframework__shotcut,,cpp,1,17,350,12,610,5331,4704,296,11819,1786,6045,914,367,0,20001,268,68,16677,33,33,1392,4842,10,302,8.19672,1.5,274,25.1078,2.92787,1,50,0.261114,0,35,1.06799,0.260927,0,181,2.83247,0.00168824,0,3,0.913774,44,0.111475,0.111475,26,2,1.23881,0,0,0,0,5,0,0,0,0,12.6667,39,42,0.941176,3,9,20.5882,42,97,,,,,,,,,,,,,,,,,0,1,1,1,7,14,3,586,1,0,0.128165,0.00649351,0.865342,0,0.727273,0.0714286,1,0.280285,0,0.0909091,0,0.909091
mobile-shell__mosh,,cpp,1,11,79,7,146,813,514,117,2647,399,1163,152,90,0,3939,144,32,3181,31,95,528,2205,6,247,4.32192,2,34,7.03215,2.73288,1,24,0.649446,0,37,2.13824,0.649446,0,21,1.60223,0,0,0,1.84461,16,0.219178,0.219178,16,1,1,0,0,0,0,4,0,0,0,0,14.1429,37,37,0.909091,1,9,7.18182,12,20,,,,,,,,,,,,,,,,,0,1,1,1,9,15,1,121,1,0.114865,0.138108,0.003861,0.743166,0.333333,0.444444,0.027027,0.857143,0.855824,0,0,0,1
moonlight-stream__moonlight-qt,,cpp,1,19,123,7,169,862,716,79,3497,748,1340,193,142,0,5099,50,19,4299,8,43,340,2248,1,182,4.70414,1,54,8.5052,4.42604,1,41,0.394432,0,14,1.10991,0.37007,0,26,1.47325,0.00116009,0,1,1.14305,11,0.112426,0.112426,10,2,1.55556,0,0,0,0,7,0,0,0,0,3,4,4,0.947368,5,5,6.47368,24,29,,,,,,,,,,,,,,,,,0,1,1,1,1,10,0,158,1,0.0555556,0,0,0.944444,0.333333,0,0,1,0.153049,0,0,0,1
mrousavy__react-native-mmkv,,cpp,1,11,12,3,5,20,10,4,60,2,37,8,23,0,99,3,0,79,0,0,1,19,4,0,2.8,3,5,1.6,0.4,0,1,0.05,0,1,0.217945,0.05,0,1,0.217945,0.2,0,1,0,0,0,0,0,,,0,0,0,0,7,1,0.333333,1,1,0.666667,2,2,0.909091,1,4,1.09091,2,6,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1
mudler__LocalAI,,cpp,1,4,3,10,288,621,358,88,2273,223,856,2,7,0,3193,352,12,2746,66,5,118,1304,370,158,1.54861,0,35,5.15298,0.774306,0,43,0.190016,0,9,0.678136,0.181965,0,14,0.803012,0.301127,0,16,1.04036,16,0.0416667,0.0416667,5,1,1,0,0,0,0,5,3,0.8,3,3,14.5,14,123,0.75,1,1,0.75,3,3,,,,,,,,,,,,,,,,,0,1,1,1,0,2,0,286,1,0,0.0159117,0,0.984088,0,0.0714286,0,1,0.0878714,0,0,0,1
ninja-build__ninja,,cpp,1,3,108,4,226,1221,845,174,3697,442,1969,245,111,0,5556,296,40,4703,18,71,474,2177,4,312,4.50885,2,33,6.07566,1.95575,0,19,0.388206,0,15,1.22022,0.388206,0,14,1.06311,0.001638,0,1,1.03846,10,0.176991,0.176991,4,2,1.18919,0,0,0,0,3,1,0.5,2,2,27.75,93,93,0.666667,2,2,36,107,107,,,,,,,,,,,,,,,,,0,1,1,1,14,6,2,204,1,0.0322581,0.356525,0.00358423,0.607632,0.0967742,1,0.0107527,0.941176,0.316522,0,0.333333,0,0.666667
nodegui__nodegui,,cpp,1,287,391,43,326,10455,9592,167,36719,527,12492,967,678,0,49578,227,73,46546,175,66,406,8070,50,492,29.9356,2,238,53.5915,1.61656,2,46,0.0388331,0,25,0.409621,0.037494,0,52,0.607564,0.00344333,0,3,0.979127,51,0.223926,0.223926,48,2,1.66667,0,0,0,0,8,3,0.255814,1,4,0.418605,1,5,0.996516,0,73,1.36237,2,25,,,,,,,,,,,,,,,,,0,1,1,1,5,2,1,318,1,0,0.047619,0,0.952381,0,0.333333,0,1,0.131185,0,0,0,1
nomic-ai__gpt4all,,cpp,1,6,61,2,165,1448,1096,62,4432,584,1972,101,67,0,6465,57,17,5375,14,8,243,1812,16,103,7.01818,0,126,18.7169,3.53939,1,48,0.167818,0,14,0.71208,0.165746,0,10,0.664937,0.00690608,0,2,0.671233,16,0.10303,0.10303,4,1,1,0,0,0,0,4,0,0,0,0,8,16,16,0.833333,3,3,10.1667,36,36,,,,,,,,,,,,,,,,,0,1,1,1,1,4,0,160,1,0,0,0,1,0,0,0,1,0,0,0,0,1
ocornut__imgui,,cpp,1,34,80,4,625,2318,433,117,18422,2015,7367,119,114,0,22583,900,1,18621,121,429,5131,24279,48,1308,0.88,0,71,4.19218,3.224,0,274,2.21355,1,160,7.03434,2.15401,1,138,5.28906,0.0176877,0,6,4.22581,287,0.0016,0.0016,1,1,1,0,0,0,0,7,0,0,0,0,3.75,10,10,0.970588,3,21,2.35294,2,37,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,625,1,0,0,0,1,0,0,0,1,0,0,0,0,1
official-stockfish__Stockfish,,cpp,1,7,57,21,191,854,434,90,3426,369,1474,132,64,0,4806,592,6,3820,86,24,531,2187,184,441,2.74346,0,88,8.07051,1.93194,0,31,0.62178,0,45,2.57324,0.614754,0,19,1.71174,0.174473,0,4,1.22222,37,0.0314136,0.0314136,2,1,1,0,0,0,0,5,3,0.809524,3,9,7.04762,16,74,0.857143,3,3,8.14286,39,39,,,,,,,,,,,,,,,,,0,1,1,1,6,4,1,180,1,0.0118243,0.0317864,0.0909091,0.86548,0.0675676,0.272727,1,1,0.175515,0,0,0.0909091,0.909091
oguzhaninan__Stacer,,cpp,1,20,98,24,108,569,490,33,1256,312,430,159,118,0,2294,187,0,1660,0,2,96,429,0,30,4.84259,0.5,28,6.77982,2.88889,0,23,0.168717,0,6,0.629954,0.168717,0,9,0.632738,0,0,0,0.605769,12,0,0,0,,,0,0,0,0,5,1,0.5,3,3,1.75,2,20,0.95,2,12,4.9,9,14,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,108,1,0,0,0,1,0,0,0,1,0,0,0,0,1
openalpr__openalpr,,cpp,1,27,229,36,695,3590,2150,528,14360,1255,7730,342,256,0,19624,1415,83,16678,230,432,2203,11241,336,990,3.85324,1,80,8.47587,1.80576,0,74,0.613649,0,30,1.85454,0.589415,0,71,2.22888,0.0654596,0,4,1.92351,31,0.119424,0.119424,6,2,1.11392,0,0,0,0,7,3,0.611111,2,9,12.5833,44,115,0.962963,3,9,8.48148,24,32,,,,,,,,,,,,,,,,,0,1,1,1,16,27,14,638,1,0.0247125,0.0112677,0.00209468,0.961925,0.5,0.181818,0.0649351,1,0.133126,0,0,0,1
patriciogonzalezvivo__glslViewer,,cpp,1,12,56,2,117,651,249,52,3005,277,1603,56,68,0,3969,41,5,2934,9,10,365,1996,26,114,2.57265,0,40,7.66312,2.36752,0,49,0.560676,0,23,1.85758,0.556068,0,13,1.22613,0.0368664,0,8,1.78339,12,0.042735,0.042735,1,2,1.2,0,0,0,0,6,0,0,0,0,7,10,10,0.916667,2,3,4.66667,12,17,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,117,1,0,0,0,1,0,0,0,1,0,0,0,0,1
peterbraden__node-opencv,,cpp,1,4,39,1,29,104,56,27,531,63,165,64,43,0,787,1,1,622,0,9,2,73,0,0,2.86207,3,12,2.06321,2.17241,1,7,0.0192308,0,1,0.137335,0.0192308,0,2,0.195171,0,0,0,0.238095,2,0.0344828,0.0344828,1,1,1,0,0,0,0,3,0,0,0,0,1,1,1,0.75,3,3,9.75,37,37,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,29,1,0,0,0,1,0,0,0,1,0,0,0,0,1
progschj__ThreadPool,,cpp,1,1,2,0,1,4,0,1,19,5,6,1,3,0,24,0,0,22,0,1,0,5,4,1,1,1,1,0,5,5,5,0,0,0,0,0,0,0,0,1,0,4,0.4,1,0,0,0,,,0,0,0,0,2,,,,,,,,0,0,0,2,2,2,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,1,1,,,,,,,,,,,,,
qinguoyi__TinyWebServer,,cpp,1,9,18,0,20,128,87,15,545,124,211,22,27,0,769,4,0,621,6,7,164,689,2,25,5.1,4,26,6.27615,6.2,2,35,1.28125,0,9,1.89134,1.26562,1,21,3.10112,0,0,0,2.80645,11,0,0,0,,,0,0,0,0,4,,,,,,,,0.888889,7,7,2,5,5,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,20,1,,,,,,,,,,,,,
raulmur__ORB_SLAM2,,cpp,1,21,158,13,463,2391,1910,225,8885,1169,3630,269,179,0,12680,591,73,10957,36,59,678,5280,132,139,4.61123,0,57,9.2002,2.52484,0,72,0.283563,0,18,1.13897,0.283145,0,10,0.787106,0.0317859,0,5,1.1574,15,0.157667,0.157667,7,4,1.36111,0,0,0,0,7,1,0.384615,2,3,21.1538,77,114,0.952381,4,4,7.52381,19,70,,,,,,,,,,,,,,,,,0,1,1,1,23,28,6,406,1,0.162664,0.0565908,0.00217589,0.778569,1,0.181818,0.012987,1,0.440999,0.1,0,0,0.9
recastnavigation__recastnavigation,,cpp,1,27,106,21,723,3564,1777,412,18597,1833,8008,258,133,0,24244,822,138,20623,136,196,3561,18203,406,1180,3.02766,0,48,6.32056,2.53527,1,42,0.999158,0,57,3.06225,0.989338,0,72,3.25401,0.0743547,0,6,2.83361,44,0.190871,0.190871,16,4,1.53731,0,0,0,0,5,3,0.761905,1,9,16.0476,32,142,0.962963,3,7,3.92593,11,21,,,,,,,,,,,,,,,,,0,1,1,1,15,19,4,685,1,0.0548859,0.0855644,0.0130719,0.846478,0.5,1,0.222222,1,0.318344,0,0.0588235,0,0.941176
rizsotto__Bear,,cpp,1,64,156,37,152,690,327,135,1886,143,1113,187,220,0,3177,362,28,2236,29,30,109,732,64,91,3.03947,2,17,3.08409,0.940789,0,5,0.157971,0,10,0.716049,0.142029,0,18,0.972134,0.0782609,0,4,0.804196,17,0.184211,0.184211,4,2,1.39286,0,0,0,0,8,2,0.486486,2,4,3.51351,8,32,0.984375,3,13,2.4375,6,19,,,,,,,,,,,,,,,,,0,1,1,1,3,3,0,146,1,0.0486111,0.0555556,0,0.895833,0.5,1,0,1,0.164586,0,0.0416667,0,0.958333
s3fs-fuse__s3fs-fuse,,cpp,1,3,73,0,163,1472,897,125,5881,320,3189,189,76,0,8142,9,0,6830,22,202,1501,4569,4,476,6.26994,0,196,19.4214,1.96319,0,33,1.0197,0,70,3.13037,1.01427,0,181,5.79558,0.00271739,0,1,2.20312,40,0,0,0,,,0,0,0,0,3,,,,,,,,0.666667,2,2,24.3333,68,68,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,163,1,,,,,,,,,,,,,
scottbez1__smartknob,,cpp,1,11,44,1,59,136,85,18,537,146,182,51,55,0,819,25,4,616,3,5,42,232,3,69,1.74576,0,25,4.17252,2.47458,1,20,0.308824,0,6,0.762298,0.308824,0,5,0.818128,0.0147059,0,1,0.390411,4,0.0677966,0.0677966,2,2,1.5,0,0,0,0,7,0,0,0,0,7,7,7,0.909091,2,4,4,10,20,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,59,1,0,0,0,1,0,0,0,1,0,0,0,0,1
sebastianstarke__AI4Animation,,cpp,1,197,1085,7,4187,3710,1927,491,14826,418,5174,12,1282,0,23306,4364,197,17390,482,58,571,8780,3212,770,0.577502,0,100,3.38239,0.0998328,0,16,0.153908,0,8,0.515819,0.133154,0,37,0.997061,0.454987,0,10,3.41866,25,0.0470504,0.0470504,36,3,1.22396,0,0,0,0,18,2,0.714286,4,4,212.143,1056,1056,0.994924,1,25,5.50761,14,67,,,,,,,,,,,,,,,,,0,1,1,1,1,33,0,4153,1,0.000472813,0.00681684,0,0.99271,0.00236407,0.0293561,0,1,0.0516991,0,0,0,1
seetaface__SeetaFaceEngine,,cpp,1,22,76,4,90,419,281,64,1865,247,675,114,98,0,2687,77,20,2238,6,37,145,1566,4,88,3.83333,2,28,4.95143,2.74444,1,16,0.346062,0,8,1.16515,0.346062,0,12,1.30065,0.00954654,0,1,1.7004,15,0.222222,0.222222,10,1,1,0,0,0,0,5,1,0.5,1,1,15,22,22,0.954545,3,5,3.45455,7,21,,,,,,,,,,,,,,,,,0,1,1,1,2,2,0,86,1,0,0.041958,0,0.958042,0,0.0909091,0,1,0.207685,0,0,0,1
snowie2000__mactype,,cpp,1,2,60,7,522,1457,785,186,5434,747,1982,70,62,0,7725,324,20,6206,71,62,419,2918,325,354,1.86015,0,109,6.71089,1.43103,0,70,0.287577,0,22,1.27445,0.277968,0,28,1.12451,0.0947152,0,6,0.796519,17,0.0383142,0.0383142,5,1,1,0,0,0,0,3,2,0.714286,3,3,18.4286,107,107,0.5,1,1,30,56,56,,,,,,,,,,,,,,,,,0,1,1,1,0,2,0,520,1,0,0.0161549,0,0.983845,0,0.0714286,0,1,0.0895313,0,0,0,1
sogou__workflow,,cpp,1,18,258,3,544,3301,2141,329,10910,1276,6211,393,276,0,14324,201,101,13229,2,53,1262,9086,108,329,4.54044,0,103,9.59004,2.34559,1,29,0.382308,0,16,1.08521,0.371403,0,15,1.07949,0.0190851,0,4,2.81113,59,0.185662,0.185662,8,4,1.61616,0,0,0,0,5,0,0,0,0,26.6667,77,77,0.944444,4,9,14.3333,45,77,,,,,,,,,,,,,,,,,0,1,1,1,4,5,0,535,1,0,0.0194805,0,0.980519,0,0.038961,0,1,0.118754,0,0,0,1
spotify__annoy,,cpp,1,3,7,2,31,202,100,6,881,52,399,6,10,0,1117,35,7,1041,0,0,51,560,143,8,3.41935,0,26,6.69508,1.67742,0,14,0.252475,0,3,0.536415,0.252475,0,12,1.14348,0.623762,0,4,1.71154,9,0.225806,0.225806,3,2,1.42857,0,0,0,0,3,1,0.5,1,1,6,12,12,0.666667,2,2,2.33333,6,6,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,29,1,0,0,0,1,0,0,0,1,0,0,0,0,1
spotify__pedalboard,,cpp,1,8,73,9,130,898,609,68,2788,437,968,63,81,0,3902,319,30,3438,9,5,144,1575,52,69,5.20769,3,63,7.21718,3.36154,2,38,0.160356,0,7,0.549254,0.159243,0,15,0.796868,0.0211581,0,3,1.01831,11,0.230769,0.230769,13,2,1.13333,0,0,0,0,4,2,0.666667,3,3,11.6667,65,65,0.875,4,4,9.125,23,23,,,,,,,,,,,,,,,,,0,1,1,1,2,2,1,125,1,0.0357143,0.0021978,0.00793651,0.954151,0.25,0.0153846,0.0555556,1,0.1765,0,0,0,1
ssloy__tinyraytracer,,cpp,1,1,1,0,3,16,9,0,71,10,22,0,2,0,90,0,0,74,9,0,20,91,0,19,3,0,9,4.24264,3.33333,3,4,1.25,0,5,1.60078,1.25,1,5,1.43614,0,0,0,3.5,10,0,0,0,,,0,0,0,0,2,,,,,,,,0,0,0,1,1,1,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,3,1,,,,,,,,,,,,,
ssloy__tinyrenderer,,cpp,1,1,9,0,16,86,58,5,364,39,151,10,10,0,491,1,1,418,31,2,38,260,31,62,3.9375,1.5,15,4.99335,2.4375,1,12,0.44186,0,6,1.07406,0.44186,0,3,0.621413,0.302326,0,3,1.41026,6,0.0625,0.0625,1,1,1,0,0,0,0,2,,,,,,,,0,0,0,9,9,9,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,16,1,,,,,,,,,,,,,
swig__swig,,cpp,1,299,510,1,212,2556,1296,81,17595,688,5907,237,809,0,23970,40,34,18188,31,63,13196,18907,5,400,6.49528,0,106,16.3435,3.24528,0,65,5.16275,2,79,7.93775,5.15962,1,835,31.7854,0.00117371,0,1,4.19331,107,0.160377,0.160377,18,2,1.52941,0,0,0,0,10,0,0,0,0,3,3,3,0.996656,2,24,1.70569,2,31,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,210,1,0,0,0,1,0,0,0,1,0,0,0,0,1
szad670401__HyperLPR,,cpp,1,24,62,38,414,1636,884,227,3776,633,1847,90,86,0,5988,841,83,4867,162,49,181,1568,282,340,2.68357,1,36,4.57771,1.52899,0,31,0.110636,0,7,0.520353,0.103912,0,4,0.406499,0.119804,0,3,0.709321,12,0.200483,0.200483,11,3,1.4359,0,0,0,0,6,3,0.815789,4,8,8.15789,31,99,0.958333,3,5,2.58333,6,10,,,,,,,,,,,,,,,,,0,1,1,1,8,8,0,398,1,0.0339899,0.0576263,0,0.908384,0.333333,1,0,1,0.170874,0,0.04,0,0.96
tjanczuk__edge,,cpp,1,20,69,15,450,1059,617,74,4132,203,1986,107,89,0,5994,486,8,4868,99,66,445,2568,425,181,1.53556,0,72,5.40862,0.451111,0,18,0.420208,0,34,1.59792,0.405099,0,36,1.74731,0.306893,0,5,2.03448,85,0.0177778,0.0177778,6,1,1,0,0,0,0,8,3,0.533333,1,3,16.4667,14,202,0.95,2,6,3.45,9,10,,,,,,,,,,,,,,,,,0,1,1,1,4,4,2,440,1,0.0854167,0.0104167,0.0354167,0.86875,0.6,0.0833333,0.2,1,0.322309,0.125,0,0,0.875
topjohnwu__Magisk,,cpp,1,19,83,8,272,1342,463,160,4869,588,2709,156,102,0,6803,71,72,5138,22,78,838,3156,94,271,2.29044,0,41,5.02423,2.16176,0,22,0.624441,0,25,1.7768,0.586438,0,24,1.54406,0.0581222,0,3,1.30612,28,0.264706,0.264706,6,5,1.91549,0,0,0,0,6,1,0.125,1,1,1.625,6,6,0.947368,5,7,4.36842,9,13,,,,,,,,,,,,,,,,,0,1,1,1,2,2,0,268,1,0.0714286,0.0238095,0,0.904762,0.5,0.166667,0,1,0.235717,0,0,0,1
trojan-gfw__trojan,,cpp,1,6,33,0,42,130,117,8,590,103,245,49,39,0,862,17,5,634,0,6,72,481,0,30,2.97619,0,16,4.76339,2.45238,0,17,0.553846,0,5,1.03077,0.553846,0,8,1.20933,0,0,0,1.79612,10,0.119048,0.119048,5,1,1,0,0,0,0,4,,,,,,,,0.833333,4,4,5.5,12,12,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,42,1,,,,,,,,,,,,,
tzapu__WiFiManager,,cpp,1,2,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,,,,,,,,0.5,1,1,3.5,6,6,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
uNetworking__uWebSockets,,cpp,1,2,10,0,8,111,7,2,633,14,162,5,12,0,754,0,0,579,0,0,18,310,65,63,1.125,0.5,3,1.26861,1.75,1.5,5,0.162162,0,5,0.562179,0.162162,0,7,0.885728,0.585586,1,2,0.714286,3,0,0,0,,,0,0,0,0,3,,,,,,,,0.5,1,1,5,9,9,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,8,1,,,,,,,,,,,,,
visualfc__liteide,,cpp,1,150,940,21,1371,9044,7207,638,29302,3920,14058,1492,1090,0,45187,796,315,36801,309,398,4285,18802,29,2132,5.7221,1,302,14.3842,2.85923,1,84,0.473795,0,69,1.87858,0.468266,0,53,1.90729,0.000995135,0,2,1.5523,49,0.229759,0.229759,29,5,1.3949,0,0,0,0,9,2,0.285714,1,2,13.8095,33,104,0.993333,2,34,6.26667,15,69,,,,,,,,,,,,,,,,,0,1,1,1,47,56,6,1262,1,0.166861,0.0589226,0.00173611,0.772481,1,0.5,0.03125,1,0.467651,0.0555556,0,0,0.944444
vnotex__vnote,,cpp,1,26,539,7,718,6250,5587,437,15473,1823,9188,1734,565,0,26033,696,139,21366,584,44,1902,6329,50,820,8.38997,2,101,15.9201,2.539,0,43,0.30432,0,27,1.13371,0.30176,0,126,2.04043,0.0072,0,2,1.06912,20,0.193593,0.193593,19,3,1.2,0,0,0,0,6,1,0.142857,1,1,66.2857,327,327,0.961538,3,9,20.7308,61,139,,,,,,,,,,,,,,,,,0,1,1,1,9,14,0,695,1,0.0498034,0.0460588,0,0.904138,0.333333,0.285714,0,1,0.303091,0,0,0,1
