repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,scope_to_scope_fanout_mean,scope_to_scope_fanout_p90,scope_to_scope_fanout_max,scope_to_type_fanout_mean,scope_to_type_fanout_p90,scope_to_type_fanout_max,folder_to_folder_fanout_mean,folder_to_folder_fanout_p90,folder_to_folder_fanout_max,folder_to_file_fanout_mean,folder_to_file_fanout_p90,folder_to_file_fanout_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed,n_type_inbound,n_type_outbound,n_type_transit,n_type_hidden,pct_type_classified,pkg_pct_inbound_mean,pkg_pct_outbound_mean,pkg_pct_transit_mean,pkg_pct_hidden_mean,pkg_pct_inbound_max,pkg_pct_outbound_max,pkg_pct_transit_max,pkg_pct_hidden_max,pkg_profile_entropy_mean,pct_pkg_dominant_inbound,pct_pkg_dominant_outbound,pct_pkg_dominant_transit,pct_pkg_dominant_hidden
google__re2,,cpp,1,7,78,10,291,1653,913,235,5983,499,3208,134,85,0,8294,1117,6,6639,75,156,1088,4294,84,381,3.94502,0,77,9.20875,1.71478,0,23,0.658197,0,28,1.93792,0.653358,0,35,2.29447,0.0429522,0,6,1.67134,16,0.0206186,0.0206186,1,1,1,0,0,0,0,4,1,0.4,2,2,17,19,105,0.857143,4,4,11.1429,35,35,,,,,,,,,,,,,,,,,0,1,1,1,9,17,7,258,1,0.0031746,0.0724868,0.0042328,0.920106,0.0285714,0.5,0.0380952,1,0.24283,0,0,0,1
google__snappy,,cpp,1,1,18,7,42,337,129,41,1260,65,673,29,19,0,1721,217,7,1393,6,36,105,824,14,35,4.04762,4,14,3.5251,1.54762,0,8,0.311573,0,5,0.782382,0.311573,0,8,0.875456,0.0296736,0,1,1.70769,7,0.166667,0.166667,1,1,1,0,0,0,0,2,1,0.571429,2,2,5.57143,12,12,0,0,0,18,18,18,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,42,1,0,0,0,1,0,0,0,1,0,0,0,0,1
gzc__CLRS,,cpp,1,38,69,0,48,342,180,42,1598,102,729,18,107,0,2131,4,0,1751,2,25,274,1473,7,73,4.625,1.5,26,6.46666,2.125,2,6,0.80117,0,53,3.19012,0.80117,1,6,0.991896,0,0,0,2.73529,12,0,0,0,,,0,0,0,0,5,,,,,,,,0.973684,1,20,1.81579,5,6,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,48,1,,,,,,,,,,,,,
haoel__leetcode,,cpp,1,469,524,1,85,1222,815,51,6439,176,2604,3,993,0,8548,7,7,7292,3,40,346,5405,10,56,10.1882,2,670,72.0437,2.07059,1,35,0.283142,0,54,1.94609,0.283142,0,5,0.586281,0.00654664,0,2,1.91477,22,0.0823529,0.0823529,6,1,1,0,0,0,0,6,0,0,0,0,2,2,2,0.997868,0,464,1.11727,1,6,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,85,1,0,0,0,1,0,0,0,1,0,0,0,0,1
hluk__CopyQ,,cpp,1,34,313,30,787,6018,4699,306,18378,1366,7444,876,347,0,27547,1021,69,22943,736,115,2398,6580,76,1488,6.35959,2,345,23.0172,1.73571,0,45,0.398471,0,67,1.76495,0.398139,0,114,2.27876,0.0111333,0,4,1.04832,127,0.0876747,0.0876747,9,2,1.19118,0,0,0,0,6,1,0.233333,1,3,10.7667,33,80,0.970588,3,8,9.20588,20,111,,,,,,,,,,,,,,,,,0,1,1,1,13,9,2,763,1,0.010928,0.00280584,0.00194932,0.984317,0.151515,0.0454545,0.0526316,1,0.0775113,0,0,0,1
huihut__interview,,cpp,1,17,55,0,58,144,61,11,407,32,179,26,72,0,639,2,16,468,0,13,116,514,0,25,1.24138,0.5,15,2.23846,0.551724,0,5,0.805556,0,46,3.88244,0.770833,1,4,0.779234,0,0,0,5.0625,13,0.275862,0.275862,3,1,1,0,0,0,0,5,,,,,,,,0.941176,5,5,3.23529,7,15,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,56,1,,,,,,,,,,,,,
id-Software__DOOM,,cpp,1,5,146,0,298,766,0,0,6453,582,1522,473,151,0,8568,1,0,5491,56,0,1567,9160,0,459,0,0,0,0,1.95302,0,35,2.04569,1,25,2.64017,2.02611,1,92,5.49952,0,0,0,4.53093,64,0,0,0,,,0,0,0,0,3,,,,,,,,0.8,4,4,29.2,124,124,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,298,1,,,,,,,,,,,,,
idea4good__GuiLite,,cpp,1,5,24,0,64,259,233,13,997,149,535,24,29,0,1325,0,14,1227,5,33,351,1577,0,110,3.84375,0,39,6.94446,2.32812,0,22,1.35521,1,11,1.94452,1.33591,1,42,3.41119,0,0,0,5.01342,41,0.21875,0.21875,10,2,1.14286,0,0,0,0,5,,,,,,,,0.8,2,2,4.8,12,12,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,64,1,,,,,,,,,,,,,
ideawu__ssdb,,cpp,1,40,379,16,655,3719,1972,265,16205,941,9307,618,419,0,21975,1012,257,17808,438,908,3765,10905,21,1111,3.41527,2,75,7.24374,1.43664,0,28,1.01237,0,87,2.60955,1.01156,0,114,4.12869,0.00403334,0,2,2.76302,105,0.392366,0.392366,49,2,1.01613,0,0,0,0,8,2,0.75,2,6,24.1875,46,244,0.975,3,8,9.475,28,45,,,,,,,,,,,,,,,,,0,1,1,1,29,144,11,471,1,0.00901913,0.197091,0.0444273,0.749463,0.0737705,0.666667,0.5,1,0.465326,0,0.230769,0,0.769231
interpretml__interpret,,cpp,1,16,115,4,381,1853,766,128,12577,490,3402,393,131,0,15053,744,36,13074,45,125,1388,10360,652,190,2.34646,0,34,5.24774,1.28609,0,21,0.749056,0,59,2.78946,0.747437,0,162,5.57371,0.267134,0,12,2.26735,23,0.0944882,0.0944882,7,4,2.13889,0,0,0,0,6,0,0,0,0,41.75,69,69,0.9375,5,6,7.1875,17,55,,,,,,,,,,,,,,,,,0,1,1,1,0,2,0,379,1,0,0.00980392,0,0.990196,0,0.0392157,0,1,0.0596711,0,0,0,1
