repo,subrepo,lang,includes,contains,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
dotnet__winforms,,csharp,279,3960,4398,6259,1668,56959,2746,5924,51563,3361,54500,13420,99218,3715
dotnetcore__CAP,,csharp,68,327,389,489,144,1796,87,278,633,117,1723,424,3084,31
dotnetcore__FreeSql,,csharp,310,1229,4324,6885,295,18385,838,5657,39571,1394,17226,3193,39120,948
dotnetcore__Util,,csharp,805,2708,2325,3011,1198,17606,2486,3919,19326,6075,9182,2097,32010,963
dotnetcore__WTM,,csharp,152,923,876,1012,412,3293,129,837,2683,86,3007,827,6642,220
duplicati__duplicati,,csharp,39,186,247,335,106,1376,32,128,967,364,1379,214,2226,10
dvf__blockchain,,csharp,4,8,6,7,0,20,1,5,18,0,17,2,43,0
elastic__elasticsearch-net,,csharp,161,594,816,1039,193,3300,519,662,1729,112,3437,998,6574,88
elsa-workflows__elsa-core,,csharp,921,2678,2696,3676,937,8191,735,1607,4442,342,10771,4237,17837,474
elvirbrk__NoteHighlight2016,,csharp,8,16,17,19,3,99,0,22,48,7,127,11,204,0
fanliang11__surging,,csharp,309,1278,1471,1863,533,8473,598,1057,4182,801,8092,2824,13989,308
felixse__FluentTerminal,,csharp,49,305,266,316,63,1734,57,304,840,88,1430,486,2763,30
files-community__Files,,csharp,152,899,1006,1183,502,6296,131,818,3750,467,6227,1027,10494,608
fluentassertions__fluentassertions,,csharp,55,722,1519,2372,223,7770,243,2243,12519,160,4818,582,17141,31
fluentmigrator__fluentmigrator,,csharp,256,1142,1272,1564,923,8722,719,2508,9109,523,4696,1755,17637,2831
focus-creative-games__luban,,csharp,110,439,449,567,166,3161,266,272,1987,140,5904,2416,6542,459
fullstackhero__blazor-starter-kit,,csharp,149,338,398,618,84,1409,19,108,441,221,930,243,2310,0
fullstackhero__dotnet-starter-kit,,csharp,89,304,368,476,91,988,7,129,231,162,1219,263,1986,1
gerardog__gsudo,,csharp,16,82,108,141,24,665,32,95,537,204,554,108,991,8
gibbed__SteamAchievementManager,,csharp,8,56,50,60,7,378,7,16,153,251,190,20,361,0
git-ecosystem__git-credential-manager,,csharp,57,354,519,646,183,3078,77,1516,2755,836,2929,598,5087,140
glzr-io__glazewm,,csharp,52,316,318,373,127,956,126,254,574,122,922,609,1565,2
greenshot__greenshot,,csharp,78,450,477,560,223,3523,155,418,2604,286,3609,741,5578,196
grpc__grpc-dotnet,,csharp,213,806,873,1148,183,4681,182,1434,4944,757,3973,776,8176,125
gui-cs__Terminal.Gui,,csharp,26,226,483,674,228,5636,203,3537,8335,1861,3380,1349,8693,494
hanmin0822__MisakaTranslator,,csharp,24,107,155,180,24,991,5,124,432,310,928,57,1477,18
hardkoded__puppeteer-sharp,,csharp,92,694,679,797,279,3105,40,962,3702,683,1995,883,6191,145
hbons__SparkleShare,,csharp,10,70,82,101,10,791,5,89,438,489,479,73,1024,26
hellzerg__optimizer,,csharp,6,65,88,94,2,1198,38,73,1061,455,961,57,1824,5
huiyadanli__RevokeMsgPatcher,,csharp,11,39,39,49,5,207,12,50,140,9,174,20,389,20
icsharpcode__ILSpy,,csharp,112,1255,2436,3022,1180,18376,1756,3535,17102,6152,18732,10648,31030,2579
icsharpcode__SharpZipLib,,csharp,50,152,209,243,54,2449,55,771,2052,367,1893,229,3326,27
immense__Remotely,,csharp,69,339,369,446,82,1723,17,106,964,17,1813,359,3204,15
indiff__qttabbar,,csharp,44,455,701,872,184,8084,104,598,3911,1732,7181,1341,9838,149
inkle__ink,,csharp,9,102,124,147,59,1465,211,382,1826,356,826,393,2250,74
intel__acat,,csharp,125,605,649,784,237,7835,265,625,6744,1223,5604,1212,11007,262
ivanpaulovich__clean-architecture-manga,,csharp,55,180,179,236,48,572,24,133,202,308,519,326,1135,25
jamesmh__coravel,,csharp,83,213,240,342,58,847,125,421,669,434,621,129,1747,0
jasontaylordev__CleanArchitecture,,csharp,54,115,123,197,26,321,5,72,103,4,239,82,683,4
jbogard__MediatR,,csharp,25,112,330,510,55,680,32,203,157,3,812,283,1573,8
jellyfin__jellyfin,,csharp,358,1629,1557,1954,604,8030,333,1601,5850,436,12646,4420,14291,318
jstedfast__MailKit,,csharp,26,390,422,483,138,5200,304,2827,7981,1006,8306,1884,9286,324
jynew__jynew,,csharp,559,3236,4384,4917,1551,45219,1336,2956,31284,15987,29054,6582,56443,3074
keenanwoodall__Deform,,csharp,31,163,314,482,126,1906,2,134,614,678,625,209,1744,174
keijiro__AICommand,,csharp,1,4,10,11,0,31,0,3,7,5,5,1,44,0
keijiro__Skinner,,csharp,20,113,195,270,36,1406,7,48,392,676,507,126,1295,90
kerryjiang__SuperSocket,,csharp,42,269,347,423,139,1324,118,198,899,15,1410,343,2653,122
kgrzybek__modular-monolith-with-ddd,,csharp,381,1062,1139,1621,426,3018,74,890,1622,247,2739,1560,5753,7
khellang__Scrutor,,csharp,2,41,117,146,62,427,193,25,240,5,388,38,968,12
kwsch__PKHeX,,csharp,207,1720,1863,1909,1466,19681,973,1145,14904,3400,19926,5777,27338,993
laochiangx__Common.Utility,,csharp,165,372,231,246,4,2420,27,63,935,170,2997,60,3799,0
leiurayer__downkyi,,csharp,71,397,479,551,215,3377,120,408,2139,575,1500,407,4219,67
lepoco__wpfui,,csharp,164,516,456,559,49,2193,21,77,740,186,1871,229,3368,24
liangxiegame__QFramework,,csharp,417,1578,1546,1738,629,11301,1039,1065,6656,3769,9151,2783,16961,517
libgit2__libgit2sharp,,csharp,10,395,466,511,173,4238,402,1749,5062,748,4579,1618,7019,82
lostindark__DriverStoreExplorer,,csharp,6,32,45,63,5,463,3,24,149,54,440,185,461,0
louthy__language-ext,,csharp,269,1229,2468,2783,168,15616,2279,1438,15079,2587,20148,2567,31607,226
lucasg__Dependencies,,csharp,20,119,159,173,39,1205,36,124,428,184,1168,243,1547,7
mRemoteNG__mRemoteNG,,csharp,123,590,1804,2047,116,7099,138,2267,7416,180,8434,1271,13092,55
marian42__wavefunctioncollapse,,csharp,7,43,50,7,5,427,15,26,201,574,176,87,496,8
marticliment__WingetUI,,csharp,51,142,179,252,40,1315,26,161,1153,490,1025,393,2005,139
mathnet__mathnet-numerics,,csharp,132,971,957,1121,339,13558,1114,4053,17356,2950,20510,1242,25925,609
mayuki__Cocona,,csharp,83,297,560,863,186,1744,156,1092,1397,23,1528,466,3986,30
mbdavid__LiteDB,,csharp,67,389,414,524,84,2793,468,866,2955,478,2610,1184,4850,34
mcintyre321__OneOf,,csharp,8,88,133,153,65,4294,1074,573,222,1128,6597,77,5930,0
mgth__LittleBigMouse,,csharp,37,201,254,315,81,1261,88,100,314,61,1005,249,1752,18
microsoft__ApplicationInspector,,csharp,16,84,106,124,22,610,21,167,476,2,404,115,852,8
microsoft__FASTER,,csharp,69,465,795,951,93,7048,402,1698,8075,4462,11540,3372,10810,106
microsoft__MixedRealityToolkit-Unity,,csharp,324,1477,1648,1907,828,16439,221,757,8073,2178,8508,2779,18005,936
microsoft__Power-Fx,,csharp,147,1189,1688,2088,1004,11372,1373,5435,14112,3997,13162,6874,18853,1320
microsoft__PowerToys,,csharp,350,1493,1634,2173,525,10219,262,1527,6101,1151,7720,1458,15308,25
microsoft__RulesEngine,,csharp,17,72,81,99,10,304,10,261,320,10,277,63,634,7
microsoft__WPF-Samples,,csharp,532,1315,1101,1153,38,5142,61,443,1724,467,5116,339,8102,56
microsoft__WinAppDriver,,csharp,37,193,204,212,56,1450,4,36,532,311,791,55,2558,3
microsoft__ailab,,csharp,112,438,536,703,73,3163,33,214,1386,1033,2393,306,4543,7
microsoft__devhome,,csharp,197,980,1032,1271,327,6202,176,650,3104,625,3991,976,8854,165
microsoft__fluentui-blazor,,csharp,220,650,24803,49270,24428,26520,61,260,755,20,1548,211,52695,8
microsoft__garnet,,csharp,101,811,1064,1258,220,12128,486,2085,15725,6954,17579,4936,18734,274
microsoft__perfview,,csharp,83,404,2250,2544,1451,19246,1611,3316,12788,4697,22514,2671,28923,5051
microsoft__reverse-proxy,,csharp,100,582,657,854,202,3091,183,1440,2259,226,3508,759,5705,79
migueldeicaza__TensorFlowSharp,,csharp,17,44,94,112,20,1030,128,353,1189,227,1443,243,1666,49
mob-sakai__ParticleEffectForUGUI,,csharp,3,14,20,24,0,227,3,2,56,14,128,13,293,0
mob-sakai__UIEffect,,csharp,5,34,33,33,12,348,1,7,118,15,165,23,333,44
mono__SkiaSharp,,csharp,168,567,635,786,343,8342,1066,1707,6403,1568,11014,3036,13565,311
morelinq__MoreLINQ,,csharp,8,255,247,318,8,1796,10,204,1010,197,1993,15,3788,1
mpvnet-player__mpv.net,,csharp,29,112,163,226,16,1310,14,54,732,180,1244,104,1887,6
mxgmn__MarkovJunior,,csharp,1,26,36,1,14,341,7,22,164,340,422,53,362,34
mxgmn__WaveFunctionCollapse,,csharp,1,5,6,0,2,54,0,2,16,5,45,0,51,2
naudio__NAudio,,csharp,81,671,701,806,231,5576,163,1058,2224,726,4020,1011,7118,85
neo-project__neo,,csharp,110,752,748,911,214,6263,908,2011,7960,2572,5322,2940,10950,414
netchx__netch,,csharp,32,126,150,168,46,669,26,119,530,161,607,102,1219,13
nilaoda__BBDown,,csharp,5,34,61,79,8,396,2,39,264,156,401,46,520,0
nilaoda__N_m3u8DL-CLI,,csharp,2,23,26,30,0,277,0,10,181,84,230,2,321,0
nilaoda__N_m3u8DL-RE,,csharp,27,89,92,120,12,603,24,106,555,83,557,86,912,14
nissl-lab__npoi,,csharp,230,2850,4443,5057,1756,43230,4904,9037,42511,10980,24686,11375,56608,1718
nopSolutions__nopCommerce,,csharp,516,2963,3293,4022,1882,15191,130,2813,19473,1297,17217,11859,24320,109
npgsql__npgsql,,csharp,57,462,749,974,328,6658,647,1777,8583,526,6484,1986,11151,258
openhardwaremonitor__openhardwaremonitor,,csharp,42,408,530,629,218,4446,216,576,2378,1203,3863,1695,5532,342
