repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,scope_to_scope_fanout_mean,scope_to_scope_fanout_p90,scope_to_scope_fanout_max,scope_to_type_fanout_mean,scope_to_type_fanout_p90,scope_to_type_fanout_max,folder_to_folder_fanout_mean,folder_to_folder_fanout_p90,folder_to_folder_fanout_max,folder_to_file_fanout_mean,folder_to_file_fanout_p90,folder_to_file_fanout_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed,n_type_inbound,n_type_outbound,n_type_transit,n_type_hidden,pct_type_classified,pkg_pct_inbound_mean,pkg_pct_outbound_mean,pkg_pct_transit_mean,pkg_pct_hidden_mean,pkg_pct_inbound_max,pkg_pct_outbound_max,pkg_pct_transit_max,pkg_pct_hidden_max,pkg_profile_entropy_mean,pct_pkg_dominant_inbound,pct_pkg_dominant_outbound,pct_pkg_dominant_transit,pct_pkg_dominant_hidden
MudBlazor__MudBlazor,,csharp,1,190,797,102,957,5156,4852,293,15339,11857,3482,190,797,0,957,1222,345,17013,211,1240,3867,258,3482,534,5.37618,2,109,10.3745,12.3898,0,2122,0.75,0,13,1.27766,0.75,0,55,3.18107,0.67533,0,7,0.0217593,14,0.360502,0.360502,105,4,1.47463,0,0,0,0,2,4,0.941176,3,14,9.36275,10,452,0,0,0,4.19474,8,74,5.39289,2,109,5.3173,3,12,212,9.18398,18.1356,41.6035,202.189,1.74892,999.768,0.0673962,478.974,1266.21,0,1,1,1,95,161,22,679,1,0.15559,0.264034,0.0267733,0.553602,1,1,1,1,0.449838,0.11236,0.235955,0.0224719,0.629213
MvvmCross__MvvmCross,,csharp,1,244,1396,252,3682,7447,5128,2307,12583,1087,11496,244,1396,0,3682,6075,2097,8534,460,2273,4195,459,11496,4682,2.01928,1,60,4.08903,0.29522,0,46,0.563314,0,18,1.02735,0.563314,0,140,3.23519,1.54371,1,14,0.422263,37,0.569527,0.569527,32,6,1.52656,0,0,0,0,2,5,0.988095,3,20,14.6111,16,2012,0,0,0,5.72131,13,51,2.02852,1,60,2.19135,1,4,1001,20.2628,11.3103,22.4828,122.036,1.49242,259.708,0.0406788,180.686,561.774,0,1,1,1,179,472,61,2970,1,0.102712,0.297017,0.0461247,0.554146,1,1,1,1,0.70977,0.0708333,0.191667,0.0208333,0.716667
NLog__NLog,,csharp,1,155,783,70,989,6702,6078,606,9494,999,8495,155,783,0,989,1289,607,7701,372,2540,9954,1552,8495,1815,6.75834,3,441,18.798,1.01011,0,32,1.48523,1,25,1.92643,1.48523,0,450,9.93574,1.26753,1,10,1.55355,371,0.613751,0.613751,155,5,1.51948,0,0,0,0,2,3,0.685714,1,16,14.1,39,112,0,0,0,5.05161,12,62,6.85137,3,441,3.28529,2,8,201,5.00859,17.7805,34.7805,166.285,2.13538,950.834,0.0554282,406.997,1755.9,0,1,1,1,81,396,110,402,1,0.0407863,0.380243,0.0611314,0.517839,0.4,1,0.666667,1,0.661182,0.015625,0.390625,0.03125,0.5625
NickeManarin__ScreenToGif,,csharp,1,83,616,82,598,3094,2784,302,6568,1616,4952,83,616,0,598,726,164,4710,76,378,3196,410,4952,354,5.16054,2,222,12.3024,2.70234,0,42,1.03297,0,30,1.96763,1.03297,0,190,5.54125,1.60052,2,12,0.253713,63,0.274247,0.274247,15,4,1.7351,0,0,0,0,2,5,0.97561,3,14,7.29268,15,72,0,0,0,7.42169,17,66,5.17893,2,222,3.30381,2,8,72,4.14408,22.6246,50.6721,277.464,4.41818,4881.15,0.0924881,645.495,6626.98,0,1,1,1,77,65,59,397,1,0.133303,0.0889752,0.133207,0.644515,1,1,1,1,0.395075,0.106667,0.0933333,0.0933333,0.706667
OdysseusYuan__LKY_OfficeTools,,csharp,1,4,30,3,62,98,91,7,126,20,106,4,30,0,62,97,0,118,0,94,161,26,106,0,1.58065,1,5,1.50856,0.322581,0,7,1.64286,1,10,2.0566,1.64286,1,16,2.21889,1.08163,1,4,1.3,6,0,0,0,,,0,0,0,0,2,1,0.666667,2,2,20.6667,34,34,0,0,0,7.5,18,18,1.58065,1,5,1.42857,1,2,13,1.60992,31.9011,69.2527,383.468,6.31824,4754.11,0.127823,847.732,11840.9,0,0,1,0,12,9,15,26,1,0.148148,0.411765,0.162309,0.277778,0.444444,1,0.264706,0.5,1.00975,0.333333,0.333333,0,0.333333
Ombi-app__Ombi,,csharp,1,168,1027,174,1279,3087,2808,279,5574,710,4864,168,1027,0,1279,1467,366,3797,64,1202,3207,229,4864,1800,2.4136,0,79,5.30627,0.555121,0,22,1.03887,1,19,1.49433,1.03887,0,150,4.72617,1.57564,1,25,0.322535,36,0.286161,0.286161,36,4,1.33234,0,0,0,0,2,5,0.988506,2,30,7.34483,19,60,0,0,0,6.1131,12,38,2.42064,0,79,3.18335,2,7,91,4.87772,18.8843,42.0182,224.184,1.8222,1060.87,0.0747281,521.241,1668.84,0,1,1,1,125,184,40,930,1,0.156109,0.229575,0.0305042,0.583812,1,1,0.857143,1,0.506917,0.220238,0.130952,0.0119048,0.636905
OpenRA__OpenRA,,csharp,1,126,1455,86,2927,10817,9030,1667,28951,10619,18332,126,1455,0,2927,3224,2931,21436,1100,3825,14797,16786,18332,14398,3.6546,2,74,5.26613,3.62795,2,111,1.36794,1,35,2.24483,1.36794,0,354,7.38343,1.69474,1,20,1.58075,743,1.00137,1.00137,243,7,1.61912,0,0,0,0,2,5,0.988372,1,24,34.0349,65,1053,0,0,0,11.5476,30,137,3.70584,2,74,2.89517,2,6,104,4.1408,17.7581,36.9831,184.625,3.51951,2213.91,0.0615418,455.824,3809.49,0,1,1,1,210,1123,264,1330,1,0.0848236,0.475924,0.0950387,0.344213,1,1,1,1,0.965001,0.0493827,0.45679,0.037037,0.45679
OptiKey__OptiKey,,csharp,1,111,563,105,604,1676,1346,322,3274,1434,1840,111,563,0,604,719,309,3110,26,448,1197,552,1840,596,2.76159,1,73,5.81356,2.37417,0,284,0.7142,0,55,2.19949,0.7142,0,22,1.66855,1.09785,1,20,0.384937,11,0.511589,0.511589,132,3,1.46154,0,0,0,0,2,6,0.961905,2,30,5.75238,10,75,0,0,0,5.07207,9,43,2.79139,1,73,2.60979,1,6,54,4.1685,18.9703,49.7675,292.377,3.15677,7622.25,0.0974588,428.774,3063.6,0,1,1,1,41,50,22,491,1,0.0807091,0.170354,0.0985862,0.65035,1,1,1,1,0.235771,0.0531915,0.138298,0.0957447,0.712766
Orbmu2k__nvidiaProfileInspector,,csharp,1,11,56,11,74,472,434,33,1167,473,694,11,56,0,74,96,9,945,18,85,444,192,694,94,6.31081,3,83,10.9728,6.39189,1,219,0.940678,0,13,1.65469,0.940678,1,23,1.88118,1.47034,1,7,0.40592,8,0.121622,0.121622,4,1,1,0,0,0,0,2,3,0.909091,3,4,6.72727,14,18,0,0,0,5.09091,11,12,6.39189,3,83,2.20551,1,5,41,2.86751,15.735,28.9793,136.038,2.73885,1023.71,0.0453461,312.126,2242.78,0,1,1,1,18,11,7,38,1,0.262787,0.145723,0.0965608,0.494929,1,0.666667,0.333333,0.875,0.97042,0.222222,0.111111,0,0.666667
OrchardCMS__OrchardCore,,csharp,1,1286,4582,1135,4947,11411,9304,2050,22997,5314,17683,1286,4582,0,4947,6222,1873,16725,1040,2580,9238,1736,17683,9199,2.29513,1,61,3.78413,1.07419,0,30,0.80957,0,21,1.34364,0.80957,0,305,5.57076,1.54965,1,19,0.326684,64,0.378613,0.378613,283,5,1.49064,0,0,0,0,2,5,0.99207,3,106,4.34626,11,49,0,0,0,3.56299,8,39,2.31009,1,61,2.85514,2,7,173,4.10255,18.0071,34.8744,171.556,2.22021,1092.54,0.0571853,409.457,2045.27,0,1,1,1,325,1303,94,3225,1,0.044988,0.361271,0.018008,0.575733,1,1,1,1,0.3843,0.0254477,0.306315,0.00659755,0.66164
Perfare__Il2CppDumper,,csharp,1,8,49,1,117,313,291,22,1223,834,389,8,49,0,117,125,12,1147,20,64,471,759,389,126,2.67521,0,38,6.1877,7.12821,4,74,1.50479,0,29,2.77957,1.50479,1,16,2.66455,1.24281,1,5,0.910072,21,0.102564,0.102564,6,3,1.83333,0,0,0,0,2,0,0,0,0,117,117,117,0,0,0,6.125,15,15,2.67521,0,38,3.20767,2,7,40,5.2835,21.732,54.6426,313.322,5.0958,6918.85,0.104441,677.263,10221.3,0,1,1,1,2,1,0,114,1,0.017094,0.00854701,0,0.974359,0.017094,0.00854701,0,0.974359,0.195583,0,0,0,1
